subject,v,gamma,s,tau
39,0.000121,0.31,0.007088,0.33
40,6.3e-05,0.3,0.008777,0.55
41,7.3e-05,0.81,0.008888,0.65
42,7.8e-05,-0.17,0.008498,0.98
43,6.3e-05,0.65,0.0066099999999999996,0.47
44,4.3e-05,-0.26,0.007155,1.39
45,2e-05,0.34,0.00695,0.95
46,5.9999999999999995e-05,-1.03,0.008606,0.83
47,0.000157,0.31,0.005291,0.24
48,6.2e-05,-0.07,0.007948,1.2
49,7.3e-05,0.48,0.007923999999999999,0.75
50,0.000118,0.01,0.007294,0.32
51,6.3e-05,0.41,0.007428,0.66
52,6.2e-05,0.37,0.007634999999999999,1.02
53,0.00011,0.52,0.00514,0.22
54,2e-05,0.32,0.006489,1.37
55,5.6999999999999996e-05,0.3,0.01144,0.73
56,3.9e-05,0.63,0.005515,1.55
57,0.000117,0.2,0.008126000000000001,0.34
58,6.6e-05,0.49,0.00999,0.29
59,2.9999999999999997e-05,0.38,0.009337999999999999,4.82
60,6.7e-05,-0.23,0.008122,0.47
61,4.9e-05,0.07,0.007445,0.46
62,4e-05,0.52,0.009055,0.78
63,2.2e-05,-0.42,0.006532,1.14
64,5.4000000000000005e-05,-0.46,0.010194,1.52
65,9.300000000000001e-05,-0.03,0.006534000000000001,0.44
66,6.4e-05,0.78,0.008277,0.78
67,4.1e-05,-0.07,0.0070290000000000005,1.3
68,8.9e-05,-0.09,0.006392,0.48
