,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,2.4838347765926342e-05,1.0,0.006435394339100555,0.22423383251918658,0.0
1,1.0,0.05,2.4838347765926342e-05,1.0,0.006435394339100555,0.22423383251918658,0.0
2,1.0,0.05,2.4838347765926342e-05,1.0,0.007046559016259423,0.22423383251918658,0.0
3,1.0,0.05,2.4838347765926342e-05,1.0,0.007046559016259423,0.22423383251918658,0.0
4,1.0,0.05,2.4838347765926342e-05,1.0,0.007046559016259423,0.20975392879956933,0.0
5,1.0,0.05,2.1215675573925302e-05,1.0,0.007046559016259423,0.19524020162722575,0.0
6,1.0,0.05,2.1215675573925302e-05,1.0,0.007046559016259423,0.16663554177478165,0.0
7,1.0,0.05,2.1215675573925302e-05,1.0,0.006762368378668962,0.14651738226375394,0.0
8,1.0,0.05,2.1697265757716593e-05,1.0,0.007325173423718126,0.2187371833332324,0.0
9,1.0,0.05,2.2353962886344623e-05,1.0,0.006971673383616758,0.2187371833332324,0.0
10,1.0,0.05,2.2353962886344623e-05,1.0,0.006794348205661137,0.2187371833332324,0.0
11,1.0,0.05,2.2353962886344623e-05,1.0,0.006794348205661137,0.17830903325661926,0.0
12,1.0,0.05,2.2144517105001844e-05,1.0,0.006794348205661137,0.17830903325661926,0.0
13,1.0,0.05,2.1097785929816867e-05,1.0,0.006995465452874224,0.17830903325661926,0.0
14,1.0,0.05,2.1097785929816867e-05,1.0,0.006995465452874224,0.17830903325661926,0.0
15,1.0,0.05,2.1097785929816867e-05,1.0,0.00668874441500113,0.17830903325661926,0.0
16,1.0,0.05,2.2681552851250333e-05,1.0,0.00668874441500113,0.23157133054730383,0.0
17,1.0,0.05,2.410323098101842e-05,1.0,0.00668874441500113,0.23157133054730383,0.0
18,1.0,0.05,2.410323098101842e-05,1.0,0.006514352561317268,0.23157133054730383,0.0
19,1.0,0.05,2.410323098101842e-05,1.0,0.006514352561317268,0.15080257211301096,0.0
20,1.0,0.05,2.410323098101842e-05,1.0,0.006514352561317268,0.2005862688677249,0.0
21,1.0,0.05,2.410323098101842e-05,1.0,0.006514352561317268,0.2005862688677249,0.0
22,1.0,0.05,2.410323098101842e-05,1.0,0.006514352561317268,0.11051957693187403,0.0
23,1.0,0.05,2.416963736911837e-05,1.0,0.0065978170935134615,0.15089980378780027,0.0
24,1.0,0.05,2.416963736911837e-05,1.0,0.0065978170935134615,0.20807539053193308,0.0
25,1.0,0.05,2.1973985127929675e-05,1.0,0.0065978170935134615,0.20807539053193308,0.0
26,1.0,0.05,2.1973985127929675e-05,1.0,0.0065978170935134615,0.20807539053193308,0.0
27,1.0,0.05,2.1973985127929675e-05,1.0,0.0065978170935134615,0.20724104740104882,0.0
28,1.0,0.05,2.1973985127929675e-05,1.0,0.006553466302952456,0.20724104740104882,0.0
29,1.0,0.05,2.1973985127929675e-05,1.0,0.006553466302952456,0.20724104740104882,0.0
30,1.0,0.05,2.5592144450054082e-05,1.0,0.006553466302952456,0.2207105458762077,0.0
31,1.0,0.05,2.451207697972796e-05,1.0,0.006614156375123531,0.2207105458762077,0.0
32,1.0,0.05,2.4510259463440266e-05,1.0,0.006245090758509157,0.12952895231465578,0.0
33,1.0,0.05,2.4510259463440266e-05,1.0,0.006245090758509157,0.12952895231465578,0.0
34,1.0,0.05,2.4510259463440266e-05,1.0,0.006245090758509157,0.15011764170379813,0.0
35,1.0,0.05,2.4510259463440266e-05,1.0,0.006245090758509157,0.15011764170379813,0.0
36,1.0,0.05,2.4510259463440266e-05,1.0,0.006245090758509157,0.15011764170379813,0.0
37,1.0,0.05,2.4510259463440266e-05,1.0,0.006245090758509157,0.12123175048679215,0.0
38,1.0,0.05,2.6875730134977854e-05,1.0,0.006122970865275364,0.12123175048679215,0.0
39,1.0,0.05,2.271177369977256e-05,1.0,0.00655835335471941,0.12123175048679215,0.0
40,1.0,0.05,2.414465065025869e-05,1.0,0.00655835335471941,0.13547469676954674,0.0
41,1.0,0.05,2.414465065025869e-05,1.0,0.00655835335471941,0.13547469676954674,0.0
42,1.0,0.05,2.2406814217120134e-05,1.0,0.00655835335471941,0.13779442692362953,0.0
43,1.0,0.05,2.2406814217120134e-05,1.0,0.00655835335471941,0.13779442692362953,0.0
44,1.0,0.05,2.2406814217120134e-05,1.0,0.00655835335471941,0.13779442692362953,0.0
45,1.0,0.05,2.2406814217120134e-05,1.0,0.00655835335471941,0.13779442692362953,0.0
46,1.0,0.05,2.257454354462607e-05,1.0,0.006420373005664759,0.13779442692362953,0.0
47,1.0,0.05,2.257454354462607e-05,1.0,0.006420373005664759,0.13779442692362953,0.0
48,1.0,0.05,2.2673458256471118e-05,1.0,0.006857416691451678,0.13779442692362953,0.0
49,1.0,0.05,2.424076453101959e-05,1.0,0.006650238477154461,0.13779442692362953,0.0
50,1.0,0.05,2.424076453101959e-05,1.0,0.006650238477154461,0.24777701464956894,0.0
51,1.0,0.05,2.424076453101959e-05,1.0,0.006650238477154461,0.20447639431910855,0.0
52,1.0,0.05,2.424076453101959e-05,1.0,0.006650238477154461,0.20447639431910855,0.0
53,1.0,0.05,2.424076453101959e-05,1.0,0.006650238477154461,0.17859874212754298,0.0
