,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,8.044659533454605e-05,0.9735506676843624,0.008228236260966859,0.6871188626588536,0.0
1,1.0,0.05,8.015521038326495e-05,0.9735506676843624,0.008228236260966859,0.6871188626588536,0.0
2,1.0,0.05,8.015521038326495e-05,0.9735506676843624,0.008228236260966859,0.8371524622600359,0.0
3,1.0,0.05,7.567814502543059e-05,0.9735506676843624,0.008228236260966859,0.8371524622600359,0.0
4,1.0,0.05,7.598382265380473e-05,0.9735506676843624,0.007761253600112836,0.8371524622600359,0.0
5,1.0,0.05,7.598382265380473e-05,0.9735506676843624,0.008997612054582493,0.8371524622600359,0.0
6,1.0,0.05,7.598382265380473e-05,0.9735506676843624,0.008997612054582493,1.081889742169553,0.0
7,1.0,0.05,7.598382265380473e-05,0.9735506676843624,0.007971545054577176,1.081889742169553,0.0
8,1.0,0.05,7.598382265380473e-05,0.9735506676843624,0.009367606898087497,1.081889742169553,0.0
9,1.0,0.05,7.598382265380473e-05,0.9735506676843624,0.009367606898087497,1.081889742169553,0.0
10,1.0,0.05,7.616228369004676e-05,0.9735506676843624,0.009367606898087497,1.081889742169553,0.0
11,1.0,0.05,7.455270028349455e-05,0.9735506676843624,0.009367606898087497,1.081889742169553,0.0
12,1.0,0.05,7.455270028349455e-05,0.9772626930685373,0.009367606898087497,1.081889742169553,0.0
13,1.0,0.05,7.946678843187873e-05,0.9772626930685373,0.00896119179868689,1.081889742169553,0.0
14,1.0,0.05,7.946678843187873e-05,0.9772626930685373,0.00896119179868689,1.081889742169553,0.0
15,1.0,0.05,7.86568770378311e-05,0.9865839498260343,0.00896119179868689,1.0045690830246228,0.0
16,1.0,0.05,7.732144883771523e-05,0.9817957891026836,0.00896119179868689,1.0045690830246228,0.0
17,1.0,0.05,7.732144883771523e-05,0.9817957891026836,0.007756581768430413,1.0389732787999864,0.0
18,1.0,0.05,7.525922736827601e-05,0.9817957891026836,0.008583259630539084,1.0389732787999864,0.0
19,1.0,0.05,7.525922736827601e-05,0.9817957891026836,0.008583259630539084,1.0389732787999864,0.0
20,1.0,0.05,7.525922736827601e-05,0.9830707254103324,0.008583259630539084,1.0421490441228205,0.0
21,1.0,0.05,7.71362607156207e-05,0.9446486300862471,0.008583259630539084,1.0421490441228205,0.0
22,1.0,0.05,7.71362607156207e-05,0.9446486300862471,0.008583259630539084,1.0855366649838474,0.0
23,1.0,0.05,7.71362607156207e-05,0.9446486300862471,0.008583259630539084,1.0225267405773686,0.0
24,1.0,0.05,7.460255950428396e-05,0.9446486300862471,0.008583259630539084,1.0225267405773686,0.0
25,1.0,0.05,7.460255950428396e-05,0.9446486300862471,0.008583259630539084,1.0225267405773686,0.0
26,1.0,0.05,7.383395796186354e-05,0.9961421209412915,0.008583259630539084,1.0099731762069803,0.0
27,1.0,0.05,7.383395796186354e-05,0.918541769771835,0.008683059450591803,1.0099731762069803,0.0
28,1.0,0.05,7.383395796186354e-05,0.918541769771835,0.008463431970182289,0.9863405368923827,0.0
29,1.0,0.05,7.576896722043096e-05,0.9750062918331004,0.008463431970182289,0.8142646368295535,0.0
30,1.0,0.05,7.576896722043096e-05,0.9750062918331004,0.008463431970182289,0.8142646368295535,0.0
31,1.0,0.05,7.576896722043096e-05,0.9446758477892718,0.008256905115203342,1.1714082073913419,0.0
32,1.0,0.05,7.326401338010546e-05,0.9446758477892718,0.008256905115203342,0.7908322916618221,0.0
33,1.0,0.05,7.548028892742834e-05,0.9716119177754479,0.008895542246914709,1.0342589815382626,0.0
34,1.0,0.05,7.548028892742834e-05,0.9716119177754479,0.008895542246914709,1.0342589815382626,0.0
35,1.0,0.05,7.548028892742834e-05,0.9941509623604841,0.008175919244149971,1.0342589815382626,0.0
36,1.0,0.05,7.548028892742834e-05,0.9941509623604841,0.008175919244149971,1.0315984372315057,0.0
37,1.0,0.05,7.623641523779487e-05,0.970264927708854,0.008089014037906777,1.0315984372315057,0.0
38,1.0,0.05,7.623641523779487e-05,0.970264927708854,0.008089014037906777,1.0315984372315057,0.0
39,1.0,0.05,7.623641523779487e-05,0.970264927708854,0.008089014037906777,1.0304961972571183,0.0
40,1.0,0.05,7.623641523779487e-05,0.970264927708854,0.008597696878334823,1.099081426606675,0.0
41,1.0,0.05,7.623641523779487e-05,0.970264927708854,0.008597696878334823,1.1445964210851447,0.0
42,1.0,0.05,7.623641523779487e-05,0.970264927708854,0.008177258934324862,1.3623369363136582,0.0
43,1.0,0.05,7.623641523779487e-05,0.970264927708854,0.008674810897928655,1.3459590381057183,0.0
44,1.0,0.05,7.623641523779487e-05,0.970264927708854,0.008291335785854816,1.3459590381057183,0.0
45,1.0,0.05,7.623641523779487e-05,0.970264927708854,0.008291335785854816,1.3459590381057183,0.0
46,1.0,0.05,7.623641523779487e-05,0.970264927708854,0.008291335785854816,1.0274944575666662,0.0
47,1.0,0.05,7.623641523779487e-05,0.9437649385961553,0.008291335785854816,1.0895578138012028,0.0
48,1.0,0.05,7.623641523779487e-05,0.9437649385961553,0.008291335785854816,1.2859064041828252,0.0
49,1.0,0.05,7.623641523779487e-05,0.9437649385961553,0.008275387408096468,1.2859064041828252,0.0
50,1.0,0.05,7.623641523779487e-05,0.9437649385961553,0.008275387408096468,1.2859064041828252,0.0
51,1.0,0.05,7.623641523779487e-05,0.9437649385961553,0.008275387408096468,1.1872270010374675,0.0
52,1.0,0.05,7.623641523779487e-05,0.9437649385961553,0.008709856321849998,1.1872270010374675,0.0
53,1.0,0.05,7.623641523779487e-05,0.9863381441983137,0.008482064733855004,1.1872270010374675,0.0
54,1.0,0.05,7.36439208143654e-05,0.9786584976609074,0.00812427537034824,1.0846644992627315,0.0
55,1.0,0.05,7.36439208143654e-05,0.9786584976609074,0.008363320483250052,1.0846644992627315,0.0
56,1.0,0.05,7.148301219783628e-05,0.9842874155930552,0.008363320483250052,1.0846644992627315,0.0
57,1.0,0.05,7.347540787058129e-05,0.9886212134859012,0.008363320483250052,1.0846644992627315,0.0
58,1.0,0.05,7.347540787058129e-05,0.9886212134859012,0.008363320483250052,1.0846644992627315,0.0
