,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,4.43166276846652e-05,1.0,0.008640704207005924,0.3576411382554342,0.0
1,1.0,0.05,4.2489397394989155e-05,1.0,0.00893014755003499,0.3546112545263186,0.0
2,1.0,0.05,4.2489397394989155e-05,1.0,0.00893014755003499,0.3546112545263186,0.0
3,1.0,0.05,4.0439374386040314e-05,1.0,0.00893014755003499,0.3546112545263186,0.0
4,1.0,0.05,4.0439374386040314e-05,1.0,0.009795182105222473,0.3546112545263186,0.0
5,1.0,0.05,4.0439374386040314e-05,1.0,0.009795182105222473,0.5005959636974504,0.0
6,1.0,0.05,4.0439374386040314e-05,1.0,0.009795182105222473,0.5005959636974504,0.0
7,1.0,0.05,4.0439374386040314e-05,1.0,0.009795182105222473,0.5005959636974504,0.0
8,1.0,0.05,4.0439374386040314e-05,1.0,0.009795182105222473,0.5005959636974504,0.0
9,1.0,0.05,4.0439374386040314e-05,1.0,0.008650258682223877,0.5005959636974504,0.0
10,1.0,0.05,4.0439374386040314e-05,1.0,0.009673496954913232,0.5005959636974504,0.0
11,1.0,0.05,4.0439374386040314e-05,1.0,0.009673496954913232,0.5005959636974504,0.0
12,1.0,0.05,4.0439374386040314e-05,1.0,0.00944030886923318,0.3836424861412505,0.0
13,1.0,0.05,4.0439374386040314e-05,1.0,0.00944030886923318,0.3836424861412505,0.0
14,1.0,0.05,4.0439374386040314e-05,1.0,0.00944030886923318,0.3836424861412505,0.0
15,1.0,0.05,4.0439374386040314e-05,1.0,0.009112344855430525,0.5108494558004277,0.0
16,1.0,0.05,4.0439374386040314e-05,1.0,0.009112344855430525,0.5108494558004277,0.0
17,1.0,0.05,4.0439374386040314e-05,1.0,0.009112344855430525,0.5108494558004277,0.0
18,1.0,0.05,4.066381389042977e-05,1.0,0.009112344855430525,0.34561277854544187,0.0
19,1.0,0.05,4.021102579755439e-05,1.0,0.009257029954048005,0.2999763696828244,0.0
20,1.0,0.05,4.021102579755439e-05,1.0,0.009257029954048005,0.2999763696828244,0.0
21,1.0,0.05,4.021102579755439e-05,1.0,0.009340759029664412,0.2999763696828244,0.0
22,1.0,0.05,4.021102579755439e-05,1.0,0.008494943719002218,0.2999763696828244,0.0
23,1.0,0.05,4.021102579755439e-05,1.0,0.008494943719002218,0.2999763696828244,0.0
24,1.0,0.05,4.021102579755439e-05,1.0,0.008494943719002218,0.2999763696828244,0.0
25,1.0,0.05,4.185883185914316e-05,1.0,0.008494943719002218,0.2999763696828244,0.0
26,1.0,0.05,4.185883185914316e-05,1.0,0.008693204661076419,0.2999763696828244,0.0
27,1.0,0.05,4.185883185914316e-05,1.0,0.008693204661076419,0.3989277011498785,0.0
28,1.0,0.05,4.185883185914316e-05,1.0,0.008814100598009909,0.3989277011498785,0.0
29,1.0,0.05,4.3289138559029964e-05,1.0,0.009319152763457933,0.3989277011498785,0.0
30,1.0,0.05,4.3289138559029964e-05,1.0,0.009319152763457933,0.3989277011498785,0.0
31,1.0,0.05,4.095575270023852e-05,1.0,0.009319152763457933,0.3989277011498785,0.0
32,1.0,0.05,4.095575270023852e-05,1.0,0.009319152763457933,0.3989277011498785,0.0
33,1.0,0.05,4.095575270023852e-05,1.0,0.009319152763457933,0.3989277011498785,0.0
34,1.0,0.05,4.095575270023852e-05,1.0,0.009319152763457933,0.39418003660500384,0.0
35,1.0,0.05,4.095575270023852e-05,1.0,0.00945523484803714,0.39418003660500384,0.0
36,1.0,0.05,4.095575270023852e-05,1.0,0.00945523484803714,0.39418003660500384,0.0
37,1.0,0.05,4.095575270023852e-05,1.0,0.009621053133710623,0.48916848697619536,0.0
38,1.0,0.05,4.095575270023852e-05,1.0,0.009401748617808216,0.3180474216160831,0.0
39,1.0,0.05,4.095575270023852e-05,1.0,0.008758127223536707,0.3180474216160831,0.0
40,1.0,0.05,4.095575270023852e-05,1.0,0.008742265760529638,0.3180474216160831,0.0
41,1.0,0.05,4.095575270023852e-05,1.0,0.008354173387198089,0.3180474216160831,0.0
42,1.0,0.05,4.095575270023852e-05,1.0,0.008354173387198089,0.3180474216160831,0.0
43,1.0,0.05,4.095575270023852e-05,1.0,0.008202780396134124,0.3180474216160831,0.0
44,1.0,0.05,4.095575270023852e-05,1.0,0.008202780396134124,0.3180474216160831,0.0
45,1.0,0.05,4.7114718445316825e-05,1.0,0.008202780396134124,0.3180474216160831,0.0
46,1.0,0.05,4.7114718445316825e-05,1.0,0.008308765158234,0.3180474216160831,0.0
