,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,2.3676389740254963e-05,1.0,0.007066903384523182,0.5336633505912648,0.0
1,1.0,0.05,2.3676389740254963e-05,1.0,0.007066903384523182,0.5336633505912648,0.0
2,1.0,0.05,2.3676389740254963e-05,1.0,0.007066903384523182,0.5336633505912648,0.0
3,1.0,0.05,2.3676389740254963e-05,1.0,0.007066903384523182,0.5607162618353233,0.0
4,1.0,0.05,2.3670443181480384e-05,1.0,0.007066903384523182,0.32102929857038415,0.0
5,1.0,0.05,2.3670443181480384e-05,1.0,0.006306356755097097,0.32102929857038415,0.0
6,1.0,0.05,2.578280471420477e-05,1.0,0.006262397332806423,0.32102929857038415,0.0
7,1.0,0.05,2.578280471420477e-05,1.0,0.006262397332806423,0.32102929857038415,0.0
8,1.0,0.05,2.578280471420477e-05,1.0,0.00615091665058612,0.37751887968962,0.0
9,1.0,0.05,2.5827732999007952e-05,1.0,0.00615091665058612,0.37751887968962,0.0
10,1.0,0.05,2.5796704051040797e-05,1.0,0.0064947913038027015,0.33044908205084905,0.0
11,1.0,0.05,2.5796704051040797e-05,1.0,0.006077942408618594,0.30692421253996244,0.0
12,1.0,0.05,2.5796704051040797e-05,1.0,0.006077942408618594,0.30692421253996244,0.0
13,1.0,0.05,2.5796704051040797e-05,1.0,0.006077942408618594,0.30692421253996244,0.0
14,1.0,0.05,2.517788486251574e-05,1.0,0.006314215530963323,0.30692421253996244,0.0
15,1.0,0.05,2.517788486251574e-05,1.0,0.00652711534995939,0.30692421253996244,0.0
16,1.0,0.05,2.2910041957359803e-05,1.0,0.006770744256986879,0.3370811616307353,0.0
17,1.0,0.05,2.2910041957359803e-05,1.0,0.007049141135582006,0.43479283426727655,0.0
18,1.0,0.05,2.2910041957359803e-05,1.0,0.007049141135582006,0.43479283426727655,0.0
19,1.0,0.05,2.2910041957359803e-05,1.0,0.007049141135582006,0.33074431806722004,0.0
20,1.0,0.05,2.2910041957359803e-05,1.0,0.007049141135582006,0.33074431806722004,0.0
21,1.0,0.05,2.2910041957359803e-05,1.0,0.007049141135582006,0.33074431806722004,0.0
22,1.0,0.05,2.2910041957359803e-05,1.0,0.007049141135582006,0.33074431806722004,0.0
23,1.0,0.05,2.2910041957359803e-05,1.0,0.007049141135582006,0.33074431806722004,0.0
24,1.0,0.05,2.2910041957359803e-05,1.0,0.006569214796112337,0.33074431806722004,0.0
25,1.0,0.05,2.2910041957359803e-05,1.0,0.006569214796112337,0.3775290783141733,0.0
26,1.0,0.05,2.2910041957359803e-05,1.0,0.006569214796112337,0.3775290783141733,0.0
27,1.0,0.05,2.2910041957359803e-05,1.0,0.006569214796112337,0.3775290783141733,0.0
28,1.0,0.05,2.322087884418901e-05,1.0,0.006569214796112337,0.3775290783141733,0.0
29,1.0,0.05,2.317100231907541e-05,1.0,0.006569214796112337,0.3775290783141733,0.0
30,1.0,0.05,2.4849221174168026e-05,1.0,0.006569214796112337,0.3775290783141733,0.0
31,1.0,0.05,2.4849221174168026e-05,1.0,0.0065388940222267464,0.3775290783141733,0.0
32,1.0,0.05,2.4849221174168026e-05,1.0,0.0065388940222267464,0.3525318470590775,0.0
33,1.0,0.05,2.4849221174168026e-05,1.0,0.0065388940222267464,0.3525318470590775,0.0
34,1.0,0.05,2.4849221174168026e-05,1.0,0.0065388940222267464,0.3429197077763743,0.0
35,1.0,0.05,2.4153435546585537e-05,1.0,0.0065388940222267464,0.3429197077763743,0.0
36,1.0,0.05,2.5586163369148964e-05,1.0,0.0065388940222267464,0.3429197077763743,0.0
37,1.0,0.05,2.5586163369148964e-05,1.0,0.0065388940222267464,0.3457710892309447,0.0
38,1.0,0.05,2.5586163369148964e-05,1.0,0.006600071059570787,0.3457710892309447,0.0
39,1.0,0.05,2.5586163369148964e-05,1.0,0.006479907920308442,0.3457710892309447,0.0
40,1.0,0.05,2.5586163369148964e-05,1.0,0.006479907920308442,0.3457710892309447,0.0
41,1.0,0.05,2.5586163369148964e-05,1.0,0.006479907920308442,0.3457710892309447,0.0
42,1.0,0.05,2.5586163369148964e-05,1.0,0.006552404142117937,0.3882752949957208,0.0
43,1.0,0.05,2.5586163369148964e-05,1.0,0.006552404142117937,0.3882752949957208,0.0
44,1.0,0.05,2.3171898038105297e-05,1.0,0.006552404142117937,0.3882752949957208,0.0
45,1.0,0.05,2.3171898038105297e-05,1.0,0.006575754062063927,0.3882752949957208,0.0
46,1.0,0.05,2.552865428666389e-05,1.0,0.006556936809425134,0.38170828448404504,0.0
47,1.0,0.05,2.552865428666389e-05,1.0,0.006556936809425134,0.38170828448404504,0.0
48,1.0,0.05,2.386637711424482e-05,1.0,0.006556936809425134,0.329707664657682,0.0
49,1.0,0.05,2.386637711424482e-05,1.0,0.006556936809425134,0.329707664657682,0.0
50,1.0,0.05,2.386637711424482e-05,1.0,0.006556936809425134,0.4114666557904956,0.0
51,1.0,0.05,2.4229353415546012e-05,1.0,0.0063191703959056215,0.32619685829048617,0.0
52,1.0,0.05,2.4229353415546012e-05,1.0,0.006299576604134614,0.44011991748383406,0.0
53,1.0,0.05,2.3760295739654245e-05,1.0,0.006299576604134614,0.44011991748383406,0.0
54,1.0,0.05,2.4487730576665978e-05,1.0,0.006299576604134614,0.44011991748383406,0.0
55,1.0,0.05,2.6025035906315765e-05,1.0,0.006299576604134614,0.26485908442621864,0.0
56,1.0,0.05,2.5937060354655128e-05,1.0,0.006299576604134614,0.3292316459092504,0.0
57,1.0,0.05,2.3452431946639005e-05,1.0,0.006299576604134614,0.3292316459092504,0.0
58,1.0,0.05,2.5438653089724773e-05,1.0,0.006299576604134614,0.3292316459092504,0.0
59,1.0,0.05,2.5438653089724773e-05,1.0,0.00656909686066199,0.3292316459092504,0.0
60,1.0,0.05,2.5438653089724773e-05,1.0,0.00656909686066199,0.3292316459092504,0.0
61,1.0,0.05,2.5438653089724773e-05,1.0,0.0062947553717435534,0.3292316459092504,0.0
62,1.0,0.05,2.5438653089724773e-05,1.0,0.0062947553717435534,0.28592058268654713,0.0
63,1.0,0.05,2.5572388611392603e-05,1.0,0.0062947553717435534,0.3051967710063001,0.0
64,1.0,0.05,2.5572388611392603e-05,1.0,0.00639015487586527,0.3051967710063001,0.0
65,1.0,0.05,2.5572388611392603e-05,1.0,0.00639015487586527,0.3051967710063001,0.0
66,1.0,0.05,2.5572388611392603e-05,1.0,0.0066293798787512145,0.3051967710063001,0.0
67,1.0,0.05,2.5572388611392603e-05,1.0,0.0066293798787512145,0.35281979453888423,0.0
68,1.0,0.05,2.6054032957936176e-05,1.0,0.0066463313518584175,0.35281979453888423,0.0
69,1.0,0.05,2.6054032957936176e-05,1.0,0.0066463313518584175,0.35281979453888423,0.0
70,1.0,0.05,2.6054032957936176e-05,1.0,0.0066463313518584175,0.35281979453888423,0.0
71,1.0,0.05,2.6054032957936176e-05,1.0,0.006962644668289492,0.26608370692088296,0.0
72,1.0,0.05,2.4994692294719288e-05,1.0,0.006794911906169957,0.26608370692088296,0.0
73,1.0,0.05,2.507419108266633e-05,1.0,0.006141450010050374,0.30446480958536093,0.0
74,1.0,0.05,2.507419108266633e-05,1.0,0.0069613969061376405,0.30446480958536093,0.0
75,1.0,0.05,2.507419108266633e-05,1.0,0.0069613969061376405,0.30446480958536093,0.0
76,1.0,0.05,2.411226291551675e-05,1.0,0.0069613969061376405,0.30446480958536093,0.0
77,1.0,0.05,2.4371837888743913e-05,1.0,0.0069613969061376405,0.3169181048092148,0.0
78,1.0,0.05,2.4371837888743913e-05,1.0,0.006565946447320379,0.29035278588371854,0.0
79,1.0,0.05,2.4371837888743913e-05,1.0,0.006565946447320379,0.29035278588371854,0.0
80,1.0,0.05,2.5328550475382808e-05,1.0,0.006565946447320379,0.29035278588371854,0.0
81,1.0,0.05,2.5328550475382808e-05,1.0,0.006565946447320379,0.29035278588371854,0.0
82,1.0,0.05,2.5328550475382808e-05,1.0,0.006565946447320379,0.3750769362129158,0.0
83,1.0,0.05,2.485444269061422e-05,1.0,0.006501267381628169,0.3575034840271739,0.0
84,1.0,0.05,2.485444269061422e-05,1.0,0.006423076438867925,0.3575034840271739,0.0
85,1.0,0.05,2.485444269061422e-05,1.0,0.0064742439582946044,0.3575034840271739,0.0
86,1.0,0.05,2.485444269061422e-05,1.0,0.006353158365352017,0.3575034840271739,0.0
87,1.0,0.05,2.485444269061422e-05,1.0,0.006353158365352017,0.3575034840271739,0.0
88,1.0,0.05,2.485444269061422e-05,1.0,0.006353158365352017,0.3351381007814957,0.0
89,1.0,0.05,2.485444269061422e-05,1.0,0.006240461658823796,0.30693575567654297,0.0
90,1.0,0.05,2.485444269061422e-05,1.0,0.006240461658823796,0.3819947872562234,0.0
91,1.0,0.05,2.485444269061422e-05,1.0,0.006466712069097764,0.3819947872562234,0.0
92,1.0,0.05,2.4162451955122578e-05,1.0,0.006466712069097764,0.33209093588775007,0.0
93,1.0,0.05,2.4162451955122578e-05,1.0,0.006234477631744253,0.33209093588775007,0.0
94,1.0,0.05,2.5781010549847257e-05,1.0,0.006234477631744253,0.33209093588775007,0.0
95,1.0,0.05,2.5781010549847257e-05,1.0,0.006234477631744253,0.307269594786297,0.0
96,1.0,0.05,2.5781010549847257e-05,1.0,0.006234477631744253,0.307269594786297,0.0
97,1.0,0.05,2.5781010549847257e-05,1.0,0.006234477631744253,0.2813362038762029,0.0
98,1.0,0.05,2.5781010549847257e-05,1.0,0.006234477631744253,0.2813362038762029,0.0
99,1.0,0.05,2.5781010549847257e-05,1.0,0.006234477631744253,0.33754070044789813,0.0
100,1.0,0.05,2.5941122643557817e-05,1.0,0.006234477631744253,0.33754070044789813,0.0
101,1.0,0.05,2.5941122643557817e-05,1.0,0.006234477631744253,0.3268694202216316,0.0
102,1.0,0.05,2.5941122643557817e-05,1.0,0.006234477631744253,0.3333408086969749,0.0
103,1.0,0.05,2.5941122643557817e-05,1.0,0.006234477631744253,0.3333408086969749,0.0
104,1.0,0.05,2.5941122643557817e-05,1.0,0.006234477631744253,0.3333408086969749,0.0
105,1.0,0.05,2.5941122643557817e-05,1.0,0.006275239008214769,0.3333408086969749,0.0
106,1.0,0.05,2.542651909400401e-05,1.0,0.006465713932451018,0.3166035339192879,0.0
107,1.0,0.05,2.542651909400401e-05,1.0,0.006315462242403153,0.3166035339192879,0.0
108,1.0,0.05,2.586933214709517e-05,1.0,0.006315462242403153,0.3166035339192879,0.0
109,1.0,0.05,2.586933214709517e-05,1.0,0.006315462242403153,0.3166035339192879,0.0
110,1.0,0.05,2.586933214709517e-05,1.0,0.006315462242403153,0.3166035339192879,0.0
111,1.0,0.05,2.47382229538524e-05,1.0,0.006315462242403153,0.3166035339192879,0.0
112,1.0,0.05,2.509453161140081e-05,1.0,0.006315462242403153,0.3166035339192879,0.0
113,1.0,0.05,2.509453161140081e-05,1.0,0.006315462242403153,0.3166035339192879,0.0
114,1.0,0.05,2.5078416383402803e-05,1.0,0.006315462242403153,0.3166035339192879,0.0
115,1.0,0.05,2.4924079727168915e-05,1.0,0.006539942308397298,0.3166035339192879,0.0
116,1.0,0.05,2.5471026542738965e-05,1.0,0.006539942308397298,0.3166035339192879,0.0
117,1.0,0.05,2.5471026542738965e-05,1.0,0.006539942308397298,0.3166035339192879,0.0
118,1.0,0.05,2.5471026542738965e-05,1.0,0.006539942308397298,0.3166035339192879,0.0
119,1.0,0.05,2.5471026542738965e-05,1.0,0.0063262272245229135,0.3166035339192879,0.0
120,1.0,0.05,2.6253174297016416e-05,1.0,0.0063262272245229135,0.3166035339192879,0.0
121,1.0,0.05,2.6253174297016416e-05,1.0,0.00653380352353835,0.3166035339192879,0.0
122,1.0,0.05,2.6253174297016416e-05,1.0,0.00653380352353835,0.3166035339192879,0.0
123,1.0,0.05,2.6253174297016416e-05,1.0,0.006570900079249868,0.3166035339192879,0.0
124,1.0,0.05,2.6253174297016416e-05,1.0,0.006570900079249868,0.3166035339192879,0.0
125,1.0,0.05,2.4611871887974062e-05,1.0,0.006570900079249868,0.3166035339192879,0.0
126,1.0,0.05,2.4611871887974062e-05,1.0,0.0066543958068955855,0.3700839152387324,0.0
127,1.0,0.05,2.4016783716148586e-05,1.0,0.0066543958068955855,0.3700839152387324,0.0
128,1.0,0.05,2.4016783716148586e-05,1.0,0.0066543958068955855,0.287775208506923,0.0
129,1.0,0.05,2.4016783716148586e-05,1.0,0.0066543958068955855,0.287775208506923,0.0
130,1.0,0.05,2.4312580730724607e-05,1.0,0.0066543958068955855,0.287775208506923,0.0
131,1.0,0.05,2.4312580730724607e-05,1.0,0.0066543958068955855,0.4373643692803542,0.0
132,1.0,0.05,2.4312580730724607e-05,1.0,0.0066543958068955855,0.4373643692803542,0.0
133,1.0,0.05,2.2354520749922967e-05,1.0,0.006752772888546417,0.4373643692803542,0.0
134,1.0,0.05,2.2354520749922967e-05,1.0,0.006752772888546417,0.4373643692803542,0.0
135,1.0,0.05,2.2354520749922967e-05,1.0,0.006752772888546417,0.4373643692803542,0.0
136,1.0,0.05,2.2354520749922967e-05,1.0,0.007096792029464151,0.472643274586555,0.0
137,1.0,0.05,2.2354520749922967e-05,1.0,0.007096792029464151,0.472643274586555,0.0
138,1.0,0.05,2.274285232017186e-05,1.0,0.007096792029464151,0.44912483321416496,0.0
139,1.0,0.05,2.274285232017186e-05,1.0,0.007096792029464151,0.44912483321416496,0.0
140,1.0,0.05,2.274285232017186e-05,1.0,0.007096792029464151,0.44912483321416496,0.0
141,1.0,0.05,2.274285232017186e-05,1.0,0.007096792029464151,0.44912483321416496,0.0
142,1.0,0.05,2.274285232017186e-05,1.0,0.007096792029464151,0.44912483321416496,0.0
143,1.0,0.05,2.6268825157008473e-05,1.0,0.006559803274604928,0.33470210414557344,0.0
144,1.0,0.05,2.4983926950349538e-05,1.0,0.006559803274604928,0.33470210414557344,0.0
145,1.0,0.05,2.291968745250062e-05,1.0,0.006559803274604928,0.33470210414557344,0.0
146,1.0,0.05,2.2124176932808327e-05,1.0,0.006559803274604928,0.36942884754552374,0.0
147,1.0,0.05,2.2124176932808327e-05,1.0,0.007190275362581466,0.31753449675656054,0.0
148,1.0,0.05,2.2124176932808327e-05,1.0,0.00719874009501703,0.3093051494692569,0.0
149,1.0,0.05,2.2124176932808327e-05,1.0,0.007252075603942455,0.3093051494692569,0.0
150,1.0,0.05,2.2124176932808327e-05,1.0,0.007252075603942455,0.3093051494692569,0.0
151,1.0,0.05,2.1417301897820265e-05,1.0,0.007252075603942455,0.3093051494692569,0.0
152,1.0,0.05,2.1417301897820265e-05,1.0,0.007252075603942455,0.5445476017631232,0.0
153,1.0,0.05,2.1417301897820265e-05,1.0,0.007437270404363443,0.5445476017631232,0.0
154,1.0,0.05,2.1417301897820265e-05,1.0,0.007437270404363443,0.5445476017631232,0.0
155,1.0,0.05,2.1417301897820265e-05,1.0,0.00706341943693363,0.5445476017631232,0.0
156,1.0,0.05,2.1781037587199284e-05,1.0,0.00706341943693363,0.38217717787940464,0.0
157,1.0,0.05,2.1781037587199284e-05,1.0,0.00706341943693363,0.38217717787940464,0.0
158,1.0,0.05,2.3347554223829687e-05,1.0,0.00706341943693363,0.38217717787940464,0.0
159,1.0,0.05,2.3347554223829687e-05,1.0,0.00706341943693363,0.38217717787940464,0.0
160,1.0,0.05,2.3347554223829687e-05,1.0,0.00706341943693363,0.3599144205028987,0.0
161,1.0,0.05,2.5473759642619158e-05,1.0,0.006682882102625848,0.3599144205028987,0.0
162,1.0,0.05,2.5473759642619158e-05,1.0,0.006682882102625848,0.3599144205028987,0.0
163,1.0,0.05,2.506927781123341e-05,1.0,0.006910069591150118,0.3599144205028987,0.0
164,1.0,0.05,2.506927781123341e-05,1.0,0.006251668995520496,0.3599144205028987,0.0
165,1.0,0.05,2.3834046105542387e-05,1.0,0.006257147714141172,0.3599144205028987,0.0
166,1.0,0.05,2.3834046105542387e-05,1.0,0.006523043755301401,0.3599144205028987,0.0
167,1.0,0.05,2.6126678211403704e-05,1.0,0.006523043755301401,0.3265031090154569,0.0
168,1.0,0.05,2.4603636233601104e-05,1.0,0.006523043755301401,0.3265031090154569,0.0
169,1.0,0.05,2.374498686772895e-05,1.0,0.006615652785469807,0.4133935026059749,0.0
170,1.0,0.05,2.374498686772895e-05,1.0,0.006547867027816389,0.4133935026059749,0.0
171,1.0,0.05,2.374498686772895e-05,1.0,0.0071180108269360744,0.4133935026059749,0.0
172,1.0,0.05,2.299299035271345e-05,1.0,0.006873340341365907,0.4392673883480496,0.0
173,1.0,0.05,2.299299035271345e-05,1.0,0.006873340341365907,0.43336410273829795,0.0
174,1.0,0.05,2.317375268262343e-05,1.0,0.006873340341365907,0.43336410273829795,0.0
175,1.0,0.05,2.317375268262343e-05,1.0,0.006873340341365907,0.43336410273829795,0.0
176,1.0,0.05,2.317375268262343e-05,1.0,0.006873340341365907,0.43336410273829795,0.0
177,1.0,0.05,2.312977443320478e-05,1.0,0.006873340341365907,0.43336410273829795,0.0
178,1.0,0.05,2.312977443320478e-05,1.0,0.006873340341365907,0.4338559754162191,0.0
179,1.0,0.05,2.312977443320478e-05,1.0,0.007139290340945054,0.4338559754162191,0.0
180,1.0,0.05,2.312977443320478e-05,1.0,0.007139290340945054,0.4338559754162191,0.0
181,1.0,0.05,2.312977443320478e-05,1.0,0.007139290340945054,0.4338559754162191,0.0
182,1.0,0.05,2.312977443320478e-05,1.0,0.007139290340945054,0.4338559754162191,0.0
183,1.0,0.05,2.312977443320478e-05,1.0,0.007139290340945054,0.4338559754162191,0.0
184,1.0,0.05,2.312977443320478e-05,1.0,0.006771600815233177,0.4338559754162191,0.0
185,1.0,0.05,2.312977443320478e-05,1.0,0.006771600815233177,0.4338559754162191,0.0
186,1.0,0.05,2.312977443320478e-05,1.0,0.006771600815233177,0.4338559754162191,0.0
187,1.0,0.05,2.312977443320478e-05,1.0,0.006771600815233177,0.4338559754162191,0.0
188,1.0,0.05,2.3650508209246857e-05,1.0,0.006771600815233177,0.4338559754162191,0.0
189,1.0,0.05,2.4268692299309837e-05,1.0,0.006775462734636999,0.4504578985920268,0.0
190,1.0,0.05,2.4268692299309837e-05,1.0,0.006943146164367956,0.48975978741158943,0.0
191,1.0,0.05,2.4268692299309837e-05,1.0,0.006943146164367956,0.3578782240988615,0.0
192,1.0,0.05,2.4268692299309837e-05,1.0,0.006582381840055825,0.3578782240988615,0.0
193,1.0,0.05,2.4268692299309837e-05,1.0,0.006582381840055825,0.3578782240988615,0.0
194,1.0,0.05,2.4268692299309837e-05,1.0,0.006582381840055825,0.3578782240988615,0.0
195,1.0,0.05,2.4268692299309837e-05,1.0,0.00651047153981668,0.4181133600991831,0.0
196,1.0,0.05,2.314431358434077e-05,1.0,0.00651047153981668,0.4181133600991831,0.0
197,1.0,0.05,2.314431358434077e-05,1.0,0.00651047153981668,0.4181133600991831,0.0
198,1.0,0.05,2.314431358434077e-05,1.0,0.00651047153981668,0.4181133600991831,0.0
199,1.0,0.05,2.402982940461142e-05,1.0,0.00651047153981668,0.4181133600991831,0.0
200,1.0,0.05,2.402982940461142e-05,1.0,0.00651047153981668,0.3475534150140844,0.0
201,1.0,0.05,2.402982940461142e-05,1.0,0.00651047153981668,0.3475534150140844,0.0
202,1.0,0.05,2.402982940461142e-05,1.0,0.00651047153981668,0.3475534150140844,0.0
203,1.0,0.05,2.402982940461142e-05,1.0,0.00651047153981668,0.37720331442155147,0.0
204,1.0,0.05,2.318444686475244e-05,1.0,0.006296861998861286,0.37720331442155147,0.0
205,1.0,0.05,2.318444686475244e-05,1.0,0.006296861998861286,0.37720331442155147,0.0
206,1.0,0.05,2.318444686475244e-05,1.0,0.00658922629319833,0.37720331442155147,0.0
207,1.0,0.05,2.318444686475244e-05,1.0,0.0072751512800296935,0.37263187036991907,0.0
208,1.0,0.05,2.318444686475244e-05,1.0,0.0072751512800296935,0.3914504636789282,0.0
209,1.0,0.05,2.1455790004035707e-05,1.0,0.0072751512800296935,0.500406184240086,0.0
210,1.0,0.05,2.1455790004035707e-05,1.0,0.007258513953798596,0.500406184240086,0.0
211,1.0,0.05,2.1455790004035707e-05,1.0,0.007290854412391253,0.40209319355625306,0.0
212,1.0,0.05,2.1455790004035707e-05,1.0,0.006990961647583482,0.46105390990242745,0.0
213,1.0,0.05,1.9598590665099115e-05,1.0,0.0077974468862814445,0.6592148508837476,0.0
214,1.0,0.05,1.9962786847421403e-05,1.0,0.0077974468862814445,0.6592148508837476,0.0
215,1.0,0.05,2.0389893863030374e-05,1.0,0.007529072209368773,0.6592148508837476,0.0
216,1.0,0.05,2.026526239975403e-05,1.0,0.007063561708392639,0.494392438809399,0.0
217,1.0,0.05,2.076445838746488e-05,1.0,0.007063561708392639,0.5475777710925003,0.0
218,1.0,0.05,2.076445838746488e-05,1.0,0.007073645152519463,0.5398221208175316,0.0
219,1.0,0.05,2.076445838746488e-05,1.0,0.007073645152519463,0.5398221208175316,0.0
220,1.0,0.05,2.3209030418547775e-05,1.0,0.007073645152519463,0.5398221208175316,0.0
221,1.0,0.05,2.264004631811417e-05,1.0,0.007073645152519463,0.5398221208175316,0.0
222,1.0,0.05,2.264004631811417e-05,1.0,0.007073645152519463,0.5398221208175316,0.0
223,1.0,0.05,2.184656691491296e-05,1.0,0.007073645152519463,0.5398221208175316,0.0
