subject,trial,repeat,choice,rt,item_value_0,gaze_0,item_value_1,gaze_1,item_value_2,gaze_2,group
0.0,0.0,0.0,0.0,1316.0,5,0.4591749794590616,0,0.379466081010542,3,0.1613589395303965,group1
0.0,1.0,0.0,2.0,1235.0,3,0.38911503786703067,7,0.18958805569247683,9,0.4212969064404926,group1
0.0,2.0,0.0,1.0,1771.0,3,0.2696646408526574,5,0.40905547269643666,2,0.32127988645090577,group1
0.0,3.0,0.0,2.0,1775.0,4,0.3322796572757644,7,0.22968481323821333,6,0.4380355294860222,group1
0.0,4.0,0.0,0.0,2626.0,8,0.3846466401761872,8,0.2531628905915738,1,0.3621904692322389,group1
0.0,5.0,0.0,2.0,1807.0,6,0.019566097756667313,7,0.3074340320411222,7,0.6729998702022105,group1
0.0,6.0,0.0,0.0,1731.0,8,0.2169840000266238,1,0.46228821711512785,5,0.3207277828582484,group1
0.0,7.0,0.0,2.0,1424.0,9,0.13497179356830363,8,0.2971764429972653,9,0.5678517634344311,group1
0.0,8.0,0.0,0.0,2742.0,4,0.3249412348460611,3,0.31584118917620935,0,0.35921757597772946,group1
0.0,9.0,0.0,1.0,2115.0,3,0.32933372529519644,5,0.217880582782736,0,0.45278569192206747,group1
0.0,10.0,0.0,2.0,1532.0,2,0.21680587339230484,3,0.2570943384061355,8,0.5260997882015597,group1
0.0,11.0,0.0,1.0,1661.0,1,0.5006453784956181,3,0.4371138598320243,3,0.06224076167235755,group1
0.0,12.0,0.0,1.0,876.0,3,0.3492717354003876,7,0.27130942386412393,0,0.3794188407354886,group1
0.0,13.0,0.0,1.0,2955.0,1,0.12664388300191987,9,0.7356580932239932,9,0.13769802377408702,group1
0.0,14.0,0.0,2.0,1850.0,0,0.38778146928807017,4,0.0780023537323182,7,0.5342161769796118,group1
0.0,15.0,0.0,2.0,1278.0,3,0.4526337762298011,2,0.3190736617669773,7,0.2282925620032215,group1
0.0,16.0,0.0,0.0,1734.0,2,0.056687825371542065,0,0.5715980611988684,0,0.3717141134295895,group1
0.0,17.0,0.0,1.0,1332.0,4,0.28161740428052573,5,0.3379079698592721,5,0.38047462586020214,group1
0.0,18.0,0.0,2.0,78.0,6,0.6971946932826527,8,0.009543077160246594,4,0.29326222955710063,group1
0.0,19.0,0.0,2.0,1831.0,1,0.5131178080878486,4,0.12064024979552648,9,0.3662419421166249,group1
0.0,20.0,0.0,0.0,756.0,8,0.1991450694251145,1,0.7329738006974276,1,0.06788112987745794,group1
0.0,21.0,0.0,1.0,2259.0,7,0.5823278076933408,9,0.1642912309497956,9,0.2533809613568636,group1
0.0,22.0,0.0,2.0,4258.0,3,0.5576290245778913,6,0.423240850353161,7,0.0191301250689476,group1
0.0,23.0,0.0,2.0,1773.0,2,0.12079655126328614,0,0.4558294549250917,3,0.42337399381162216,group1
0.0,24.0,0.0,1.0,1308.0,5,0.1331932408740657,9,0.5230548334101786,4,0.3437519257157556,group1
0.0,25.0,0.0,1.0,2425.0,4,0.2886473895808472,6,0.3178968386566721,4,0.39345577176248075,group1
0.0,26.0,0.0,2.0,3545.0,4,0.3390670330008964,3,0.4328443667976872,4,0.22808860020141644,group1
0.0,27.0,0.0,1.0,1612.0,4,0.09956226612282328,8,0.5049805966989703,4,0.39545713717820646,group1
0.0,28.0,0.0,2.0,2370.0,3,0.5044679240526223,7,0.23391033713160775,5,0.2616217388157699,group1
0.0,29.0,0.0,0.0,2590.0,5,0.07215388438791455,0,0.5401568246337701,1,0.38768929097831534,group1
0.0,30.0,0.0,1.0,2813.0,5,0.5554311566552351,9,0.3013098340070342,3,0.14325900933773067,group1
0.0,31.0,0.0,1.0,1829.0,0,0.031995400260908115,5,0.08718759094658247,0,0.8808170087925095,group1
0.0,32.0,0.0,2.0,2104.0,1,0.24043958877145577,2,0.28436363710780904,4,0.4751967741207352,group1
0.0,33.0,0.0,2.0,1447.0,2,0.5295040704229905,0,0.11596821108910575,3,0.3545277184879038,group1
0.0,34.0,0.0,2.0,2790.0,2,0.2526232684818516,0,0.019811924254568396,7,0.72756480726358,group1
0.0,35.0,0.0,1.0,1074.0,5,0.24772999458536063,9,0.29684505403144823,0,0.45542495138319106,group1
0.0,36.0,0.0,1.0,1143.0,2,0.3562632316748074,7,0.26963903590780963,2,0.37409773241738303,group1
0.0,37.0,0.0,0.0,953.0,9,0.21757607070725643,2,0.6347685995685844,3,0.14765532972415935,group1
0.0,38.0,0.0,0.0,2932.0,3,0.5134163260896732,2,0.37045633482404355,3,0.1161273390862833,group1
0.0,39.0,0.0,0.0,2197.0,4,0.4903148023090462,1,0.3782568553537106,2,0.13142834233724318,group1
0.0,40.0,0.0,0.0,1781.0,9,0.28172068814258816,1,0.6843866131015567,4,0.03389269875585514,group1
0.0,41.0,0.0,1.0,1411.0,6,0.20616596755672936,8,0.4220159962167181,2,0.3718180362265526,group1
0.0,42.0,0.0,0.0,1784.0,3,0.34908090872216196,0,0.20905957474668901,0,0.44185951653114897,group1
0.0,43.0,0.0,0.0,2247.0,6,0.5763776853368915,0,0.07841905363379176,6,0.3452032610293168,group1
0.0,44.0,0.0,2.0,930.0,3,0.10607986615877678,3,0.5757966941450314,8,0.31812343969619183,group1
0.0,45.0,0.0,0.0,2013.0,8,0.6327816050871115,8,0.20511449870617793,2,0.16210389620671062,group1
0.0,46.0,0.0,1.0,1769.0,3,0.27355866655810673,2,0.1993232138063252,0,0.527118119635568,group1
0.0,47.0,0.0,1.0,2295.0,8,0.31654983134200154,8,0.30965833339057425,3,0.3737918352674242,group1
0.0,48.0,0.0,2.0,2386.0,8,0.06837394685957707,2,0.45258302990895843,8,0.4790430232314645,group1
0.0,49.0,0.0,0.0,3132.0,4,0.64347328645686,3,0.19542781974766027,0,0.1610988937954797,group1
