gamma,gamma_hpd_2.5,gamma_hpd_97.5,gamma_mu,gamma_mu_hpd_2.5,gamma_mu_hpd_97.5,group,s,s_hpd_2.5,s_hpd_97.5,s_mu,s_mu_hpd_2.5,s_mu_hpd_97.5,subject,t0,t0_hpd_2.5,t0_hpd_97.5,tau,tau_hpd_2.5,tau_hpd_97.5,tau_mu,tau_mu_hpd_2.5,tau_mu_hpd_97.5,v,v_hpd_2.5,v_hpd_97.5,v_mu,v_mu_hpd_2.5,v_mu_hpd_97.5
0.685,0.4279261744211924,0.8768024479752969,0.7007707989656938,0.436808778555962,0.9895623217342457,group1,0.261,0.2227826615106931,0.2836897130882248,0.2545686292380631,0.2247874403707595,0.2852262815657657,0,0.0,0.0,0.0,0.816,0.5315309583416539,1.4742317417248647,0.9044891565961136,0.3792662837593187,1.5419898576521174,0.648,0.5735303457893182,0.7366953216006981,0.6555447103783884,0.4713398847357999,0.8372517803437561
0.947,0.7603518746742273,0.9987057420452761,0.7007707989656938,0.436808778555962,0.9895623217342457,group1,0.26,0.22949658265442216,0.29517756326138095,0.2545686292380631,0.2247874403707595,0.2852262815657657,1,0.0,0.0,0.0,0.998,0.6008745376767548,2.038513554545899,0.9044891565961136,0.3792662837593187,1.5419898576521174,0.693,0.6242423310937409,0.8058924117398711,0.6555447103783884,0.4713398847357999,0.8372517803437561
0.654,0.4289926614578201,0.9651291848132302,0.7007707989656938,0.436808778555962,0.9895623217342457,group1,0.261,0.21733947229370987,0.28646581511426483,0.2545686292380631,0.2247874403707595,0.2852262815657657,2,0.0,0.0,0.0,0.784,0.3126528226143083,1.170051089115784,0.9044891565961136,0.3792662837593187,1.5419898576521174,0.592,0.512277084589708,0.6886668732976966,0.6555447103783884,0.4713398847357999,0.8372517803437561
0.408,0.22542912576494345,0.7295556760395265,0.7007707989656938,0.436808778555962,0.9895623217342457,group1,0.26,0.21917748726367905,0.28485821781537335,0.2545686292380631,0.2247874403707595,0.2852262815657657,3,0.0,0.0,0.0,0.786,0.29975341155435725,1.0547164183188817,0.9044891565961136,0.3792662837593187,1.5419898576521174,0.534,0.4449150262575792,0.6092935253538913,0.6555447103783884,0.4713398847357999,0.8372517803437561
0.994,0.7973759123566744,0.9999873853598173,0.7007707989656938,0.436808778555962,0.9895623217342457,group1,0.26,0.22566447892696753,0.28979830019567293,0.2545686292380631,0.2247874403707595,0.2852262815657657,4,0.0,0.0,0.0,0.779,0.36397491742693433,1.5074354167964612,0.9044891565961136,0.3792662837593187,1.5419898576521174,0.802,0.6822726803540342,0.9054035851598039,0.6555447103783884,0.4713398847357999,0.8372517803437561
0.343,0.18880727780566797,0.490251428135446,0.19492622136141743,0.08564017818716652,0.3177483110457002,group2,0.215,0.1698753417114957,0.2554059110797258,0.2532946193771888,0.22113420846757936,0.2848081644977018,5,0.0,0.0,0.0,0.693,0.4161925439005322,1.1360587014828079,0.8909446885223646,0.4896843098741002,1.3773762904101992,0.817,0.7165759934525948,0.909389484992878,0.6954810127013846,0.4567008455797704,0.9353225514565731
0.173,0.029518480506457223,0.3062327597453529,0.19492622136141743,0.08564017818716652,0.3177483110457002,group2,0.222,0.18080769453773973,0.2688643088078066,0.2532946193771888,0.22113420846757936,0.2848081644977018,6,0.0,0.0,0.0,0.652,0.36315401734297037,0.9676291961450484,0.8909446885223646,0.4896843098741002,1.3773762904101992,1.072,0.9372288879408958,1.1780677969364024,0.6954810127013846,0.4567008455797704,0.9353225514565731
0.35,0.13843860805846608,0.6111550947315769,0.19492622136141743,0.08564017818716652,0.3177483110457002,group2,0.29,0.24400656771997706,0.3360283619911447,0.2532946193771888,0.22113420846757936,0.2848081644977018,7,0.0,0.0,0.0,0.514,0.3097635802152227,1.1859566229745495,0.8909446885223646,0.4896843098741002,1.3773762904101992,0.758,0.6355740826451138,0.8824811591866231,0.6954810127013846,0.4567008455797704,0.9353225514565731
0.18,0.04566809810520844,0.2454201063403314,0.19492622136141743,0.08564017818716652,0.3177483110457002,group2,0.24,0.20210178970517226,0.2799775595702371,0.2532946193771888,0.22113420846757936,0.2848081644977018,8,0.0,0.0,0.0,1.049,0.5972677199666497,2.1824616919739266,0.8909446885223646,0.4896843098741002,1.3773762904101992,0.662,0.5701712594946269,0.7546725510309381,0.6954810127013846,0.4567008455797704,0.9353225514565731
0.053,-0.09641449917578004,0.166734356909501,0.19492622136141743,0.08564017818716652,0.3177483110457002,group2,0.237,0.19239756214953335,0.2802119844816852,0.2532946193771888,0.22113420846757936,0.2848081644977018,9,0.0,0.0,0.0,0.522,0.3385774673400848,1.005083494298201,0.8909446885223646,0.4896843098741002,1.3773762904101992,0.756,0.6526920126876268,0.8491743674623374,0.6954810127013846,0.4567008455797704,0.9353225514565731
0.214,0.08011772377766357,0.35554912077647316,0.19492622136141743,0.08564017818716652,0.3177483110457002,group2,0.24,0.20643583283790765,0.28108889763338396,0.2532946193771888,0.22113420846757936,0.2848081644977018,10,0.0,0.0,0.0,0.936,0.460477279193284,2.244362405637066,0.8909446885223646,0.4896843098741002,1.3773762904101992,0.209,0.162148055082626,0.25705349964800195,0.6954810127013846,0.4567008455797704,0.9353225514565731
0.113,-0.034650841366466345,0.2303789100519138,0.19492622136141743,0.08564017818716652,0.3177483110457002,group2,0.26,0.22261060068312805,0.31173832759222436,0.2532946193771888,0.22113420846757936,0.2848081644977018,11,0.0,0.0,0.0,0.908,0.4563535325642365,2.003820781881908,0.8909446885223646,0.4896843098741002,1.3773762904101992,0.702,0.5760545854736315,0.8059891421653673,0.6954810127013846,0.4567008455797704,0.9353225514565731
0.168,-0.02865430148915804,0.3490477608858886,0.19492622136141743,0.08564017818716652,0.3177483110457002,group2,0.29,0.2523151212861538,0.348612815400446,0.2532946193771888,0.22113420846757936,0.2848081644977018,12,0.0,0.0,0.0,0.68,0.3510355803665,1.2119899004582055,0.8909446885223646,0.4896843098741002,1.3773762904101992,0.614,0.5184044547620913,0.737257659816369,0.6954810127013846,0.4567008455797704,0.9353225514565731
0.219,0.020310658698990736,0.35610485632154454,0.19492622136141743,0.08564017818716652,0.3177483110457002,group2,0.278,0.2283620475121679,0.33449608917699614,0.2532946193771888,0.22113420846757936,0.2848081644977018,13,0.0,0.0,0.0,0.326,0.2007557420769362,0.6441252241261536,0.8909446885223646,0.4896843098741002,1.3773762904101992,1.163,1.0021156993628122,1.3458700880617298,0.6954810127013846,0.4567008455797704,0.9353225514565731
