choice,condition,gaze_0,gaze_1,gaze_2,item_value_0,item_value_1,item_value_2,repeat,rt,subject,trial
0.0,condition_0,0.9103678042628863,0.07615357813350403,0.013478617603609607,5.0,4.0,3.0,0.0,1.105630368834281,0.0,0.0
0.0,condition_0,0.617222639578265,0.3820349911051962,0.0007423693165387546,1.0,1.0,5.0,0.0,1.4572836192444814,0.0,1.0
2.0,condition_0,0.29975159535409884,0.3430152301174783,0.35723317452842285,3.0,6.0,1.0,0.0,1.5531395506189476,0.0,2.0
1.0,condition_0,0.5634487066781424,0.397728105445097,0.038823187876760604,1.0,4.0,9.0,0.0,1.0977276048549887,0.0,3.0
1.0,condition_0,0.2524443068284643,0.40695306885688887,0.34060262431464694,6.0,4.0,2.0,0.0,1.2892902520529776,0.0,4.0
1.0,condition_0,0.3658404062599788,0.5619784039421798,0.07218118979784142,5.0,8.0,4.0,0.0,1.1223493981985415,0.0,5.0
2.0,condition_0,0.0624561272807807,0.5230577915500745,0.4144860811691449,3.0,3.0,3.0,0.0,1.4073199494975863,0.0,6.0
1.0,condition_0,0.06362252554179945,0.3669903529925588,0.5693871214656417,7.0,7.0,1.0,0.0,1.3597138243205118,0.0,7.0
1.0,condition_0,0.4196745104081023,0.43353676124352963,0.14678872834836817,2.0,6.0,7.0,0.0,1.8079889444703443,0.0,8.0
1.0,condition_0,0.46203672631675013,0.5161579935997104,0.021805280083539495,6.0,9.0,9.0,0.0,1.0826764925759393,0.0,9.0
2.0,condition_0,0.5357278362200264,0.03625453615366898,0.4280176276263047,6.0,6.0,8.0,0.0,1.8891934798085468,0.0,10.0
0.0,condition_0,0.48164165728105374,0.4410950391771146,0.07726330354183145,6.0,2.0,4.0,0.0,0.9015170306606413,0.0,11.0
1.0,condition_0,0.14923926871429147,0.743897530518335,0.10686320076737355,4.0,4.0,4.0,0.0,0.7724339122886784,0.0,12.0
0.0,condition_0,0.5649678105395105,0.08650271518314355,0.3485294742773459,7.0,2.0,4.0,0.0,1.205752463897803,0.0,13.0
1.0,condition_0,0.23056098323859225,0.4130776219046464,0.35636139485676127,1.0,6.0,1.0,0.0,1.6131805444652003,0.0,14.0
0.0,condition_0,0.5050335086588822,0.36970566067553073,0.12526083066558694,6.0,3.0,8.0,0.0,1.1330463060823994,0.0,15.0
0.0,condition_0,0.2273065813300557,0.2663142835460464,0.5063791351238979,7.0,5.0,1.0,0.0,1.7185512017847024,0.0,16.0
2.0,condition_0,0.0028002446850032294,0.0709469502881025,0.9262528050268942,3.0,5.0,9.0,0.0,1.0265935435220892,0.0,17.0
0.0,condition_0,0.4001788026267794,0.3242146587700141,0.2756065386032065,8.0,7.0,8.0,0.0,1.9822170500505207,0.0,18.0
0.0,condition_0,0.7615817395718883,0.0021460537409930076,0.23627220668711862,8.0,2.0,8.0,0.0,0.7917796861727643,0.0,19.0
2.0,condition_0,0.3069268899729968,0.09353818845952197,0.5995349215674812,8.0,4.0,9.0,0.0,1.0837773273830624,0.0,20.0
2.0,condition_0,0.5907805286429566,0.254294177661225,0.1549252936958185,4.0,1.0,7.0,0.0,1.7776628569658,0.0,21.0
0.0,condition_0,0.4458884888062572,0.20962365016187504,0.3444878610318678,4.0,1.0,7.0,0.0,0.8104296040885859,0.0,22.0
0.0,condition_0,0.5814123944502939,0.3624921679928402,0.056095437556865864,6.0,7.0,5.0,0.0,1.65994746463069,0.0,23.0
2.0,condition_0,0.20341166471064098,0.37026678323237505,0.426321552056984,7.0,7.0,3.0,0.0,1.9743013110163827,0.0,24.0
0.0,condition_0,0.7408762654522745,0.004693958820187089,0.2544297757275384,3.0,5.0,2.0,0.0,0.9815896747796526,0.0,25.0
1.0,condition_0,0.2985633193620027,0.3440660013785703,0.357370679259427,3.0,4.0,4.0,0.0,1.0247847147895257,0.0,26.0
0.0,condition_0,0.3260155960623703,0.35790831473486284,0.31607608920276686,7.0,8.0,1.0,0.0,1.570574088076405,0.0,27.0
0.0,condition_0,0.5996599562992504,0.39344649452509683,0.006893549175652717,4.0,4.0,7.0,0.0,1.3097597334171447,0.0,28.0
1.0,condition_0,0.2979275214322454,0.3808873596180022,0.3211851189497524,9.0,7.0,6.0,0.0,1.6121662690312741,0.0,29.0
1.0,condition_0,0.1632910688460828,0.6703657079612719,0.1663432231926452,2.0,4.0,3.0,0.0,0.8606774134115137,0.0,30.0
2.0,condition_0,0.20763037514581656,0.37140760356190894,0.4209620212922746,7.0,4.0,7.0,0.0,1.5906401157218306,0.0,31.0
2.0,condition_0,0.2422952849309515,0.16818908688248382,0.5895156281865647,8.0,3.0,9.0,0.0,1.743848435220999,0.0,32.0
2.0,condition_0,0.23177732950794136,0.44500607952658716,0.32321659096547156,1.0,2.0,9.0,0.0,2.049067836871709,0.0,33.0
0.0,condition_0,0.22530065941430652,0.27429396251602184,0.5004053780696717,7.0,1.0,1.0,0.0,1.3296304761467395,0.0,34.0
2.0,condition_0,0.5166052625582869,0.3088980528850171,0.1744966845566959,2.0,3.0,8.0,0.0,1.0679374740794416,0.0,35.0
1.0,condition_0,0.09907258123047913,0.4413294230901941,0.45959799567932674,8.0,5.0,5.0,0.0,1.8231104245776812,0.0,36.0
0.0,condition_0,0.2704025739925117,0.36758384029954266,0.3620135857079456,1.0,2.0,1.0,0.0,1.7357567442553565,0.0,37.0
0.0,condition_0,0.19982562165671292,0.5721715515792143,0.22800282676407285,9.0,6.0,7.0,0.0,2.210075460817994,0.0,38.0
1.0,condition_0,0.5204925960834763,0.3109595456082245,0.16854785830829927,3.0,6.0,5.0,0.0,1.8730639706885284,0.0,39.0
2.0,condition_0,0.2059733727268891,0.2277325328450877,0.5662940944280233,4.0,1.0,7.0,0.0,0.7470588635432371,0.0,40.0
1.0,condition_0,0.2725023562941935,0.5089676999461132,0.21852994375969323,3.0,2.0,5.0,0.0,1.3579629128009927,0.0,41.0
2.0,condition_0,0.21155047538366467,0.3651897149106617,0.42325980970567356,5.0,1.0,9.0,0.0,1.036909855787083,0.0,42.0
2.0,condition_0,0.12729765810549862,0.2679967102659626,0.6047056316285387,8.0,8.0,7.0,0.0,2.8181413115122314,0.0,43.0
2.0,condition_0,0.27883979566165223,0.11046483250380512,0.6106953718345427,2.0,8.0,3.0,0.0,1.0820832353475747,0.0,44.0
2.0,condition_0,0.3215513730276573,0.0533882467622422,0.6250603802101006,5.0,6.0,7.0,0.0,1.5854743959587794,0.0,45.0
0.0,condition_0,0.22627980074127693,0.31626075144545146,0.45745944781327164,8.0,3.0,1.0,0.0,1.7926986796999473,0.0,46.0
2.0,condition_0,0.351252671399824,0.16162870787177275,0.48711862072840323,6.0,3.0,8.0,0.0,0.8719768762873015,0.0,47.0
2.0,condition_0,0.18289710499828138,0.4028921300777316,0.41421076492398706,8.0,2.0,2.0,0.0,1.0000012853912548,0.0,48.0
1.0,condition_0,0.054373188033992714,0.8082449799342284,0.1373818320317789,5.0,7.0,6.0,0.0,0.731694642019779,0.0,49.0
0.0,condition_0,0.3735349190441734,0.1332849235947011,0.4931801573611254,7.0,5.0,2.0,0.0,1.014642909795542,0.0,50.0
1.0,condition_0,0.340587036914041,0.48667286169202595,0.17274010139393303,2.0,6.0,2.0,0.0,1.4097187272770622,0.0,51.0
1.0,condition_0,0.3110074453088864,0.5353271473316379,0.15366540735947573,3.0,7.0,3.0,0.0,1.0517866497431125,0.0,52.0
0.0,condition_0,0.556101424680287,0.14133140129186025,0.3025671740278529,4.0,4.0,3.0,0.0,1.1732527492787908,0.0,53.0
0.0,condition_0,0.5391139422982002,0.029105652576129116,0.43178040512567056,4.0,1.0,1.0,0.0,0.9433448491690714,0.0,54.0
1.0,condition_0,0.37580173575145154,0.40120758827887315,0.22299067596967542,2.0,6.0,1.0,0.0,2.408068667006006,0.0,55.0
2.0,condition_0,0.4774313913263768,0.10836945182334047,0.41419915685028275,6.0,9.0,9.0,0.0,1.6150010531305918,0.0,56.0
2.0,condition_0,0.3991368345145159,0.4040467093511442,0.1968164561343398,1.0,1.0,1.0,0.0,1.7692934939427036,0.0,57.0
1.0,condition_0,0.19908649029750536,0.6169597942988772,0.1839537154036175,9.0,6.0,4.0,0.0,1.7453881749266589,0.0,58.0
2.0,condition_0,0.08119049935245945,0.4247141746180902,0.4940953260294503,5.0,1.0,9.0,0.0,0.8466030713319438,0.0,59.0
1.0,condition_0,0.07947960990074113,0.5634081910182385,0.3571121990810204,7.0,4.0,1.0,0.0,1.6542954877966813,0.0,60.0
0.0,condition_0,0.27132178008448576,0.21584708717537043,0.5128311327401438,9.0,2.0,7.0,0.0,1.4394720506488683,0.0,61.0
0.0,condition_0,0.4936510621875469,0.1630544714277947,0.3432944663846583,7.0,2.0,4.0,0.0,0.7769499908090206,0.0,62.0
0.0,condition_0,0.20689326375917527,0.23447154936026152,0.5586351868805632,8.0,4.0,3.0,0.0,1.7645236421773705,0.0,63.0
0.0,condition_0,0.3722629205336762,0.35890169271665756,0.2688353867496662,4.0,1.0,3.0,0.0,1.2872915827480134,0.0,64.0
0.0,condition_0,0.020918773465000644,0.298573473456812,0.6805077530781872,9.0,3.0,1.0,0.0,1.628037813688683,0.0,65.0
1.0,condition_0,0.47359347673067237,0.377782526215296,0.14862399705403156,2.0,4.0,5.0,0.0,0.8669949524085745,0.0,66.0
0.0,condition_0,0.2818189184971214,0.37802151539812945,0.3401595661047492,9.0,9.0,9.0,0.0,1.1428838397167131,0.0,67.0
2.0,condition_0,0.5070728858991757,0.012329749515357931,0.48059736458546637,3.0,9.0,7.0,0.0,1.4810055117969476,0.0,68.0
2.0,condition_0,0.17704877933287305,0.46195582103200317,0.3609953996351237,5.0,1.0,6.0,0.0,0.8640272652674758,0.0,69.0
2.0,condition_0,0.38167059908266515,0.27911648603663874,0.3392129148806962,6.0,7.0,2.0,0.0,2.651764433141618,0.0,70.0
2.0,condition_0,0.36106182809815784,0.2284315595119919,0.41050661238985026,8.0,7.0,6.0,0.0,1.7171564339443732,0.0,71.0
0.0,condition_0,0.19762436288667254,0.4745941657238632,0.3277814713894642,8.0,2.0,8.0,0.0,1.2763195952896291,0.0,72.0
2.0,condition_0,0.0788788066214771,0.29906117301180923,0.6220600203667136,6.0,7.0,8.0,0.0,1.3346166262742691,0.0,73.0
2.0,condition_0,0.5801046693200959,0.06436719515352116,0.355528135526383,7.0,8.0,6.0,0.0,3.4475782025768438,0.0,74.0
1.0,condition_0,0.07668741644649629,0.6786375116674797,0.24467507188602403,7.0,9.0,8.0,0.0,0.8247554300190181,0.0,75.0
0.0,condition_0,0.5042100599856957,0.2815474868802241,0.2142424531340803,5.0,3.0,5.0,0.0,0.9917027465215601,0.0,76.0
2.0,condition_0,0.31937097550028715,0.3213508938882421,0.3592781306114706,1.0,1.0,4.0,0.0,1.182339945488832,0.0,77.0
0.0,condition_0,0.5122541331398507,0.2179204796877572,0.269825387172392,6.0,1.0,4.0,0.0,2.184239806159907,0.0,78.0
0.0,condition_0,0.4391082603532893,0.44790791122065776,0.11298382842605284,7.0,6.0,2.0,0.0,1.2506334169073308,0.0,79.0
2.0,condition_0,0.3840924353570939,0.25268594648238146,0.36322161816052456,2.0,9.0,5.0,0.0,4.129117960856693,0.0,80.0
1.0,condition_0,0.33453779033519826,0.18170656868682034,0.4837556409779814,8.0,1.0,2.0,0.0,2.5973354618870426,0.0,81.0
2.0,condition_0,0.36151654834977925,0.18528450746731562,0.45319894418290524,8.0,2.0,6.0,0.0,1.5833857896190482,0.0,82.0
0.0,condition_0,0.43210488991602153,0.2840610690501873,0.2838340410337911,5.0,6.0,7.0,0.0,1.4371264055901367,0.0,83.0
1.0,condition_0,0.10282017066965879,0.37318475292554437,0.5239950764047969,3.0,6.0,4.0,0.0,1.5217667678918383,0.0,84.0
1.0,condition_0,0.04615641684683156,0.6592278805771739,0.2946157025759945,4.0,6.0,2.0,0.0,0.8063575801320964,0.0,85.0
0.0,condition_0,0.8663517076670938,0.08064986470838428,0.0529984276245218,8.0,8.0,1.0,0.0,0.8467656235357305,0.0,86.0
0.0,condition_0,0.21612067374576008,0.3852675926109731,0.3986117336432667,9.0,7.0,2.0,0.0,2.1444892325343785,0.0,87.0
2.0,condition_0,0.13451707139664595,0.4884130613825919,0.377069867220762,3.0,1.0,5.0,0.0,1.2017134517092938,0.0,88.0
1.0,condition_0,0.2654052669380936,0.3517331598254958,0.38286157323641057,5.0,7.0,2.0,0.0,1.1283003694071174,0.0,89.0
2.0,condition_0,0.42193291430478047,0.05076874924495061,0.527298336450269,1.0,5.0,4.0,0.0,0.6105982276603641,0.0,90.0
1.0,condition_0,0.11375509621541782,0.4802591397184334,0.4059857640661487,1.0,6.0,2.0,0.0,1.3496915338171966,0.0,91.0
1.0,condition_0,0.39793238024398503,0.2073902341758859,0.394677385580129,2.0,7.0,1.0,0.0,1.4377951356740055,0.0,92.0
2.0,condition_0,0.4568533964369058,0.04616387818564326,0.4969827253774509,3.0,9.0,4.0,0.0,1.6007783580935366,0.0,93.0
2.0,condition_0,0.09440994310836995,0.3004137596191131,0.605176297272517,8.0,3.0,6.0,0.0,1.1633271459129526,0.0,94.0
0.0,condition_0,0.5092913919845817,0.14451330307803834,0.34619530493738,7.0,1.0,5.0,0.0,1.1026448513474525,0.0,95.0
0.0,condition_0,0.2610893915826729,0.3843935634068798,0.3545170450104472,3.0,4.0,2.0,0.0,2.1049038326489393,0.0,96.0
1.0,condition_0,0.3814167735257803,0.4494878031147966,0.16909542335942312,1.0,6.0,8.0,0.0,1.1012870977171763,0.0,97.0
1.0,condition_0,0.3875825881632711,0.457538329829835,0.15487908200689382,1.0,3.0,3.0,0.0,0.7576486071669711,0.0,98.0
0.0,condition_0,0.5355070209564312,0.07670732835046054,0.38778565069310833,1.0,6.0,2.0,0.0,1.0484542322288715,0.0,99.0
1.0,condition_0,0.3142641627630416,0.38780331586391903,0.2979325213730393,2.0,7.0,4.0,0.0,1.1157122856223651,0.0,100.0
1.0,condition_0,0.3801858553413803,0.2807940410807995,0.33902010357782025,3.0,2.0,2.0,0.0,1.2774455895069932,0.0,101.0
1.0,condition_0,0.39096412881381326,0.5772646078031142,0.03177126338307257,3.0,8.0,6.0,0.0,1.1723299192148797,0.0,102.0
2.0,condition_0,0.19133934180595483,0.4306488112759148,0.37801184691813033,3.0,5.0,8.0,0.0,2.131828026197217,0.0,103.0
0.0,condition_0,0.48600132283917064,0.16102451902055773,0.35297415814027167,4.0,6.0,1.0,0.0,1.1818424554053133,0.0,104.0
0.0,condition_0,0.621988461283027,0.20877110829519432,0.16924043042177866,3.0,2.0,5.0,0.0,0.821645893959071,0.0,105.0
1.0,condition_0,0.2545737861800859,0.4565477327126802,0.2888784811072339,5.0,7.0,4.0,0.0,1.4895762730794135,0.0,106.0
2.0,condition_0,0.22485552580030188,0.40323743020278296,0.37190704399691527,9.0,9.0,8.0,0.0,1.2218813253054384,0.0,107.0
2.0,condition_0,0.3824986032935362,0.12708160748528127,0.49041978922118246,2.0,9.0,8.0,0.0,0.7876405689101085,0.0,108.0
0.0,condition_0,0.38223222566104026,0.2148429262022234,0.4029248481367364,9.0,3.0,3.0,0.0,1.2199478100993844,0.0,109.0
1.0,condition_0,0.2854302611350315,0.6774376302680561,0.037132108596912496,6.0,6.0,4.0,0.0,1.4835898871119755,0.0,110.0
2.0,condition_0,0.22112458358112838,0.39380789768866925,0.38506751873020245,6.0,3.0,8.0,0.0,0.9208659197737791,0.0,111.0
2.0,condition_0,0.37530271879775967,0.23788022543008797,0.3868170557721523,5.0,2.0,7.0,0.0,1.2266769727686548,0.0,112.0
2.0,condition_0,0.23324485961947705,0.40660615931743266,0.36014898106309023,9.0,2.0,9.0,0.0,1.9670738802142977,0.0,113.0
2.0,condition_0,0.4161504780207777,0.12195136103617714,0.46189816094304514,2.0,7.0,3.0,0.0,1.313943360214805,0.0,114.0
1.0,condition_0,0.07756760895671867,0.8705262585222139,0.051906132521067454,7.0,2.0,9.0,0.0,1.439200332989024,0.0,115.0
0.0,condition_0,0.39431165114606503,0.17224327355759997,0.4334450752963349,4.0,8.0,1.0,0.0,1.7209378561245956,0.0,116.0
0.0,condition_0,0.4405599585073791,0.47783196864523353,0.08160807284738732,8.0,1.0,1.0,0.0,0.594067325732742,0.0,117.0
2.0,condition_0,0.37840411711887606,0.3521272878412353,0.2694685950398886,8.0,4.0,6.0,0.0,3.316614671901568,0.0,118.0
1.0,condition_0,0.4785146707089375,0.45776410849533083,0.06372122079573161,3.0,6.0,2.0,0.0,1.267046733855505,0.0,119.0
1.0,condition_0,0.18257711792729728,0.3925252126123322,0.42489766946037066,3.0,6.0,4.0,0.0,1.2828133363762073,0.0,120.0
0.0,condition_0,0.3002337218303528,0.16963654228935002,0.5301297358802972,4.0,7.0,2.0,0.0,1.0040738901653232,0.0,121.0
0.0,condition_0,0.7610345653427267,0.15448380029914718,0.08448163435812611,9.0,2.0,9.0,0.0,0.8523022370046227,0.0,122.0
1.0,condition_0,0.14968818054520727,0.6793329914091188,0.17097882804567385,7.0,5.0,7.0,0.0,1.0239858590834279,0.0,123.0
2.0,condition_0,0.5707951967616822,0.32519184382099103,0.10401295941732686,6.0,5.0,8.0,0.0,0.789152162352337,0.0,124.0
2.0,condition_0,0.3344360726789279,0.3556481272091899,0.3099158001118822,3.0,1.0,3.0,0.0,1.2007269301850885,0.0,125.0
1.0,condition_0,0.256421172882784,0.6154171751512305,0.12816165196598553,1.0,6.0,5.0,0.0,1.1782955592954878,0.0,126.0
0.0,condition_0,0.31371566987537636,0.1717231692947975,0.5145611608298262,2.0,5.0,6.0,0.0,1.5655342429705228,0.0,127.0
0.0,condition_0,0.5634545926047713,0.11005788062275501,0.3264875267724737,3.0,4.0,2.0,0.0,1.6174129241303437,0.0,128.0
1.0,condition_0,0.09795384509806326,0.3998674799761753,0.5021786749257615,6.0,2.0,2.0,0.0,1.644775823436015,0.0,129.0
0.0,condition_0,0.43655547081995183,0.08008382766238231,0.4833607015176658,8.0,2.0,3.0,0.0,1.150413225494407,0.0,130.0
2.0,condition_0,0.1917546680543876,0.08975550289133889,0.7184898290542734,7.0,1.0,8.0,0.0,1.2223867002179671,0.0,131.0
0.0,condition_0,0.4963600840480119,0.22293468731422636,0.28070522863776176,8.0,5.0,4.0,0.0,1.3097283470741572,0.0,132.0
1.0,condition_0,0.5545036441503286,0.4417653565928369,0.003730999256834543,3.0,8.0,9.0,0.0,1.2498999382095324,0.0,133.0
2.0,condition_0,0.010061955026583061,0.5582719265387848,0.43166611843463215,6.0,3.0,5.0,0.0,1.3992605490493386,0.0,134.0
0.0,condition_0,0.2607483611191678,0.58767201753443,0.15157962134640215,3.0,3.0,4.0,0.0,1.1572035800329976,0.0,135.0
1.0,condition_0,0.1153997200202473,0.4358992556129983,0.44870102436675446,6.0,7.0,5.0,0.0,1.3246570223593024,0.0,136.0
2.0,condition_0,0.1739430855763686,0.24539241713231277,0.5806644972913186,1.0,3.0,9.0,0.0,0.6663630666669456,0.0,137.0
