gamma,gamma_hpd_2.5,gamma_hpd_97.5,s,s_hpd_2.5,s_hpd_97.5,subject,t0,t0_hpd_2.5,t0_hpd_97.5,tau,tau_hpd_2.5,tau_hpd_97.5,v,v_hpd_2.5,v_hpd_97.5
-0.009,-0.08451594525404849,0.09090979971348379,0.265,0.2421439982820831,0.29719844740297335,0,0.0,0.0,0.0,0.582,0.47416362982877924,0.7829052676637777,1.024,0.9501035674613354,1.0872411053488833
0.371,0.21902124231933895,0.5237768025586869,0.229,0.20532602553363125,0.2495447484269118,1,0.0,0.0,0.0,0.29,0.21763275884443462,0.4100649831098064,0.45,0.41014347492350445,0.4846170428099457
0.295,0.22817895732928006,0.33196591793713814,0.192,0.17383184359943524,0.21378173501434228,2,0.0,0.0,0.0,1.465,1.0188696519209686,2.26578091410727,0.45,0.42284193202845877,0.4941510183050484
0.332,0.24445458263037612,0.3875445719271946,0.236,0.21624602821270775,0.25833888768111335,3,0.0,0.0,0.0,1.509,1.028007199940205,2.572270748171314,0.326,0.29552687495715924,0.35725908597871914
-0.311,-0.37850228471960445,-0.25940900570156034,0.265,0.2392982660044668,0.290612258472709,4,0.0,0.0,0.0,1.428,0.9176691871272692,2.3202995026515034,0.798,0.7353932226589439,0.8602182602679233
-0.907,-1.9398091345933874,0.5368097835374313,0.267,0.24943986470092738,0.2867116295572447,5,0.0,0.0,0.0,0.176,0.002480219088210893,9.415283627046454,0.025,0.002915193229603378,0.04741796729151572
0.334,0.26231803732415626,0.39807917452683794,0.293,0.26548999482486396,0.32570397712710863,6,0.0,0.0,0.0,0.936,0.6987655103699375,1.4614903338269112,1.076,0.9901492699246186,1.1553101482598789
-0.265,-0.361535893676028,-0.11146154969237587,0.308,0.2860633888951479,0.34063483586352045,7,0.0,0.0,0.0,1.113,0.7459446584864373,1.86047105987315,0.381,0.3248822195329281,0.4234194411208519
0.053,-0.08952268247690487,0.13175954689956448,0.277,0.25326424818849375,0.306627246334478,8,0.0,0.0,0.0,0.757,0.5631369384992144,1.1022571367025096,0.675,0.6141940499387404,0.7326468860601361
0.164,0.08634332594251592,0.23748385350324153,0.295,0.2669404336643853,0.3252064870394551,9,0.0,0.0,0.0,1.004,0.6671281029744305,1.4658581318265864,0.558,0.4899616169502032,0.6048427296886416
-0.394,-0.46753446282827205,-0.3451736549276636,0.221,0.19575633499951767,0.24105036126382348,10,0.0,0.0,0.0,0.903,0.6945350222620577,1.207976539565409,0.968,0.9066950062251412,1.0213133961177587
