,index,v_level,gamma_level,s_level,tau_level,v_gen,gamma_gen,s_gen,tau_gen,v_rec,v_rec_hpd_lower,v_rec_hpd_upper,gamma_rec,gamma_rec_hpd_lower,gamma_rec_hpd_upper,s_rec,s_rec_hpd_lower,s_rec_hpd_upper,tau_rec,tau_rec_hpd_lower,tau_rec_hpd_upper,converged
0,0,low,low,low,low,2.8499999999999998e-05,-0.8,0.0047,0.215,4.2958673135343185e-05,2.658646249739541e-05,5.978898962754939e-05,-0.7104860063453815,-0.7787960696629026,-0.6345375907473396,0.004011859359214136,0.0032382201930894893,0.004791126464543854,0.2691643761657009,0.19597933769568734,0.3434098125929325,
1,1,low,low,low,medium,2.8499999999999998e-05,-0.8,0.0047,0.6749999999999999,4.21207327326722e-05,2.9619210343866937e-05,5.6983846003701e-05,-0.6814345820621479,-0.7615124020199441,-0.5969646898224291,0.00406610842225435,0.003320687639317102,0.004849303256270955,0.5977082934090129,0.4788446963149526,0.7262351611376041,
2,2,low,low,low,high,2.8499999999999998e-05,-0.8,0.0047,1.135,4.3996810944284445e-05,2.36563332419172e-05,6.747639005599876e-05,-0.6456272699512425,-0.6977613298434244,-0.5951901412174645,0.0043841097649734,0.0038232624969487257,0.0049387605573743155,1.0788382772935392,0.8440270992399678,1.349474298599833,
3,3,low,low,medium,low,2.8499999999999998e-05,-0.8,0.0075,0.215,4.0543565614058195e-05,2.6932550386559227e-05,5.631028732947258e-05,-0.6558831316658349,-0.7496380619703602,-0.5637589973898463,0.007241278573843244,0.006421518069860073,0.008098803991787086,0.30947893742340843,0.22208241393964095,0.4014758846401017,
4,4,low,low,medium,medium,2.8499999999999998e-05,-0.8,0.0075,0.6749999999999999,3.9220602984039504e-05,2.904765797429286e-05,5.007571428853714e-05,-0.6810480962288001,-0.7634864341415385,-0.6070401133449363,0.007711632878574685,0.0072056239335344515,0.008177778112370292,0.7305382059596743,0.5981074279329166,0.8845016811946037,
5,5,low,low,medium,high,2.8499999999999998e-05,-0.8,0.0075,1.135,4.412371546605752e-05,2.3410042186802e-05,6.891852751033963e-05,-0.6228396288391878,-0.6843849301922782,-0.5621284112731644,0.007274337574492432,0.00656545470692974,0.0079239011418745,1.204617051281644,0.9797228670497544,1.4386696432197787,
6,6,low,low,high,low,2.8499999999999998e-05,-0.8,0.0103,0.215,3.9454030764168935e-05,2.693858076438924e-05,5.403063782517973e-05,-0.5974166605487575,-0.7098037296961077,-0.4813635117072466,0.010193418155157036,0.009693065192184784,0.010677701041446929,0.3325976390470609,0.2344597130972096,0.4428908690424295,
7,7,low,low,high,medium,2.8499999999999998e-05,-0.8,0.0103,0.6749999999999999,3.972298688551734e-05,2.85239763370232e-05,4.989210922191174e-05,-0.6503199325105306,-0.7555048068168684,-0.5410533998134601,0.010394679179050672,0.009909259273821814,0.010856273989902118,0.7641751983051692,0.6366253301265068,0.9158290173074466,
8,8,low,low,high,high,2.8499999999999998e-05,-0.8,0.0103,1.135,4.376760539553843e-05,2.5860637901397957e-05,6.361970854333563e-05,-0.6463267917987245,-0.7158843812249236,-0.57404977731904,0.010010160711588148,0.009626258997766392,0.010377184536256506,1.1776028490133401,0.9772548157479516,1.3718435445422303,
9,9,low,medium,low,low,2.8499999999999998e-05,5.551115123125783e-17,0.0047,0.215,4.258853065756589e-05,2.6981346872486146e-05,5.901306968994956e-05,0.0012353209178910722,-0.0948699791824258,0.1098700307778082,0.0038109800623184397,0.003146174513177992,0.004694201721726342,0.18485888550204466,0.13587176857150252,0.2396829346105246,
10,10,low,medium,low,medium,2.8499999999999998e-05,5.551115123125783e-17,0.0047,0.6749999999999999,3.886042823131573e-05,2.573232905666659e-05,5.1955573978284586e-05,0.031162651795001536,-0.14278801137829233,0.19523353095774665,0.004115563438771184,0.00334716110107697,0.004924064884646138,0.6255421600549286,0.5168275246013722,0.7387459110426793,
11,11,low,medium,low,high,2.8499999999999998e-05,5.551115123125783e-17,0.0047,1.135,4.031501218233551e-05,2.2636618297930234e-05,5.8692038336755286e-05,0.03311290575101347,-0.12113167662872015,0.1939216783735247,0.003984333419896493,0.003441282809609889,0.004510767939126654,0.9370482329715224,0.8260825778012632,1.0571575830742719,
