,index,v_level,gamma_level,s_level,tau_level,v_gen,v_gen_actual,gamma_gen,gamma_gen_actual,s_gen,s_gen_actual,tau_gen,tau_gen_actual,v_rec,v_rec_hpd_lower,v_rec_hpd_upper,gamma_rec,gamma_rec_hpd_lower,gamma_rec_hpd_upper,s_rec,s_rec_hpd_lower,s_rec_hpd_upper,tau_rec,tau_rec_hpd_lower,tau_rec_hpd_upper,converged
0,0,low,low,low,low,3.3e-05,3.869334592945636e-05,-0.7,-0.7790166119537115,0.0067,0.0067557503534867135,0.215,0.15822886305494774,4.045036136626301e-05,3.638481689597687e-05,4.494223474458527e-05,-0.7665301283761041,-0.9694779747975152,-0.5735292567992367,0.00656393189281151,0.005744473230285232,0.007390417418134644,0.11870076015196887,0.011518705879150732,0.21093761495947128,True
1,1,low,low,low,medium,3.3e-05,3.16663536353927e-05,-0.7,-0.6591722092208974,0.0067,0.00665416868732298,0.675,0.7096171550724792,3.260153393394063e-05,2.691044211621055e-05,3.856756869815513e-05,-0.5874550012450487,-0.6507826129416685,-0.5148182551405434,0.006696214716846164,0.0062535510703985615,0.007151982660337715,0.7657259294092402,0.6277002299321,0.9164287982990664,True
2,2,low,low,low,high,3.3e-05,3.090685011734725e-05,-0.7,-0.685172861735672,0.0067,0.006491430830687418,1.135,1.0665385931973603,3.324380397415575e-05,2.920975272097636e-05,3.721752060803723e-05,-0.5821077390532733,-0.6377187611129038,-0.5263325359565129,0.006384433029303675,0.005944257870282404,0.006865931975440026,1.2180346246211522,0.9487980270421664,1.4954119350752346,True
3,3,low,low,medium,low,3.3e-05,3.2095842525371115e-05,-0.7,-0.7669106530977292,0.0095,0.009236671393572454,0.215,0.302591262046534,3.846044074499027e-05,3.251969895300495e-05,4.3764882501641605e-05,-0.684036233243196,-0.8893257958171077,-0.4896665048215336,0.008896698010955651,0.008241964633353548,0.00954731603808045,0.3104232667321022,0.2210022005360552,0.3963196918800199,True
4,4,low,low,medium,medium,3.3e-05,3.278636204277095e-05,-0.7,-0.7144974712629659,0.0095,0.00961653997871312,0.675,0.7543213931298206,3.559671812503065e-05,3.232252320654545e-05,3.9242791689438e-05,-0.6339521959971598,-0.7270311640252594,-0.5480313714888609,0.009490099066405472,0.008758911084768827,0.010277279515431208,0.8885206368195624,0.6171162655747179,1.1911250911017293,True
5,5,low,low,medium,high,3.3e-05,3.348120774583333e-05,-0.7,-0.6442562481902939,0.0095,0.009571424937029706,1.135,1.1092000716236003,3.60635257647304e-05,3.059622425447421e-05,4.168733919300457e-05,-0.61615407060793,-0.6959707847046062,-0.5308096271337028,0.00932789122971728,0.008828532795135274,0.009826460175228471,1.0825043352302954,0.8210778210292237,1.3565908041142205,True
6,6,low,low,high,low,3.3e-05,3.5362953169479825e-05,-0.7,-0.6599452683037748,0.0123,0.01226284582963326,0.215,0.2292352708640823,4.330662590348407e-05,3.593688345992414e-05,5.122060861996737e-05,-0.9658490909515726,-1.4722230723477685,-0.5297495109524188,0.011825080386874178,0.011328093968337902,0.012381095416453651,0.19487533113842967,0.062023500047573975,0.31686469509718657,False
7,7,low,low,high,medium,3.3e-05,3.195899049767143e-05,-0.7,-0.6843349239354689,0.0123,0.012203624059333371,0.675,0.6497628358203693,3.715884871526747e-05,3.100258890503243e-05,4.3523165230617494e-05,-0.6486013390431657,-0.8242103329827817,-0.4886719222455884,0.011931057418513956,0.011215611657314866,0.012692491822704705,0.7361048797383042,0.4933118284210145,1.0098227359440923,True
8,8,low,low,high,high,3.3e-05,3.389810686435869e-05,-0.7,-0.7304298664548639,0.0123,0.012264042148605684,1.135,1.2034405921241436,4.320330676096874e-05,3.5431457743317277e-05,5.04336164708508e-05,-0.7305988795380628,-0.8496246247931563,-0.6247838705686668,0.012221331041391486,0.011490753138145151,0.012900070514261364,0.9074482495499568,0.6784856362211676,1.154799950564038,True
9,9,low,medium,low,low,3.3e-05,3.413126445665558e-05,0.0,-0.08673474772415336,0.0067,0.0068904737869761685,0.215,0.2281897644879125,3.479560243660083e-05,3.05708194115156e-05,3.948707778458251e-05,-0.07685746235660658,-0.2280277299805853,0.07132350565031409,0.006790104359892014,0.00615951940182905,0.0074233669471340785,0.17089370616443805,0.02510173910328549,0.2896724267827514,True
10,10,low,medium,low,medium,3.3e-05,3.418719478913178e-05,0.0,0.02569047439688517,0.0067,0.0069247929512882824,0.675,0.6733495219938701,3.453503627585258e-05,3.112594733511585e-05,3.8550445212724795e-05,0.04033978072003548,-0.06659501296812742,0.14661370946706676,0.007009084653288416,0.006386682541072523,0.007643880122401268,0.7046612256688569,0.5715515053918064,0.8406868733000974,True
11,11,low,medium,low,high,3.3e-05,3.109631520124149e-05,0.0,-0.00034175004671788833,0.0067,0.0068722719795365475,1.135,1.1480376932701284,3.1957712410398325e-05,2.7041684327497115e-05,3.664905205493991e-05,-0.013005293133550632,-0.09625463309085802,0.07022232320067268,0.00677968430104416,0.006308801396590975,0.007262051924076657,1.3038750698099704,1.0451219083348913,1.559085208118895,True
12,12,low,medium,medium,low,3.3e-05,3.3377981390089897e-05,0.0,0.01934978153656715,0.0095,0.008941703228041869,0.215,0.2405331165594529,3.475260451229296e-05,2.9175993155803773e-05,3.982125326640659e-05,0.04582280788427738,-0.18797325209241575,0.271780946978744,0.00865709105338521,0.008126972498879333,0.009207813488486316,0.13424011967801686,0.003185061915590864,0.24479563075755045,True
13,13,low,medium,medium,medium,3.3e-05,3.666402644988522e-05,0.0,0.04318587598032212,0.0095,0.009414701852769436,0.675,0.6441578372138924,3.731688562349952e-05,3.326520764241861e-05,4.120354163819757e-05,0.025902621939073056,-0.08948094586725297,0.1275648964218128,0.009229850103818544,0.008702202530050716,0.009751153509702713,0.6658936788842917,0.4903489324282894,0.8524241865707737,True
14,14,low,medium,medium,high,3.3e-05,3.220165246234864e-05,0.0,-0.012218018316260449,0.0095,0.009363923511860306,1.135,1.0885759471471192,3.356468597876011e-05,2.9005081297955934e-05,3.874041781536248e-05,0.017073909695165482,-0.10312920681110782,0.14367948274555253,0.009046345495113328,0.008450190532213651,0.009611601087353415,1.1499130646147129,0.8236305323523901,1.5377697249827933,True
15,15,low,medium,high,low,3.3e-05,3.2150791415743814e-05,0.0,0.06505831883766312,0.0123,0.011974869618883931,0.215,0.21697767777338275,3.6215147983110966e-05,3.127663881100761e-05,4.095027529232979e-05,0.0525637064124404,-0.5867949915442221,0.9998361930471802,0.011972748008784123,0.01144771489977674,0.012497926511328248,0.1596864030682482,0.0016713598280650806,0.2810640143905336,False
16,16,low,medium,high,medium,3.3e-05,3.0171294987799757e-05,0.0,0.07899674634721947,0.0123,0.012266887367380123,0.675,0.64145992064515,3.4127180934951104e-05,2.9529432613036517e-05,3.875112334117737e-05,0.02600450980093064,-0.1815196999690052,0.20934532950353454,0.012034357095173595,0.011441072150001844,0.01266733270236046,0.6745437757650616,0.4708311513096702,0.9256040420805008,True
17,17,low,medium,high,high,3.3e-05,3.399110295759706e-05,0.0,0.020282760021658082,0.0123,0.012243680187994262,1.135,1.1688038004174348,3.689887593595158e-05,3.0100475304523353e-05,4.3198424565661764e-05,0.005316415489968202,-0.10008467331380187,0.11799751693455285,0.011782707869965908,0.011092254969101586,0.012451424026166136,1.0344337467315892,0.7227462329011698,1.3906656881655173,True
