,index,v_level,gamma_level,s_level,tau_level,v_gen,gamma_gen,s_gen,tau_gen,v_rec,gamma_rec,s_rec,tau_rec,converged
0,1,variable,low,low,low,1.4999999999999999e-05,-0.8,0.0047,0.215,1.7e-05,-0.76,0.004383,0.28,
1,2,variable,low,low,low,3e-05,-0.8,0.0047,0.215,3.1e-05,-0.75,0.004439,0.29,
2,3,variable,low,low,low,4.5e-05,-0.8,0.0047,0.215,5.6000000000000006e-05,-0.62,0.0015970000000000001,0.11,
3,4,variable,low,low,low,5.999999999999999e-05,-0.8,0.0047,0.215,7.4e-05,-0.7,0.0018390000000000001,0.08,
4,5,variable,low,low,low,7.5e-05,-0.8,0.0047,0.215,8.6e-05,-0.74,0.001984,0.15,
5,6,variable,low,low,low,8.999999999999998e-05,-0.8,0.0047,0.215,0.000102,-0.78,0.0021379999999999997,0.21,
6,7,variable,low,low,low,0.00010499999999999998,-0.8,0.0047,0.215,0.000118,-0.78,0.002297,0.16,
7,8,variable,low,low,low,0.00011999999999999998,-0.8,0.0047,0.215,0.000131,-0.76,0.002449,0.15,
8,9,variable,low,low,low,0.00013499999999999995,-0.8,0.0047,0.215,0.00016,-0.97,0.002629,0.17,
9,10,variable,low,low,low,0.00015,-0.8,0.0047,0.215,0.000167,-0.65,0.002797,0.19,
10,11,variable,low,low,medium,1.4999999999999999e-05,-0.8,0.0047,0.6749999999999999,1.4999999999999999e-05,-0.61,0.004535,1.3,
11,12,variable,low,low,medium,3e-05,-0.8,0.0047,0.6749999999999999,3.1e-05,-0.63,0.004815,1.06,
12,13,variable,low,low,medium,4.5e-05,-0.8,0.0047,0.6749999999999999,5.7999999999999994e-05,-0.76,0.001609,0.32,
13,14,variable,low,low,medium,5.999999999999999e-05,-0.8,0.0047,0.6749999999999999,7.5e-05,-0.67,0.0018510000000000002,0.27,
14,15,variable,low,low,medium,7.5e-05,-0.8,0.0047,0.6749999999999999,8.8e-05,-0.6,0.002054,0.44,
15,16,variable,low,low,medium,8.999999999999998e-05,-0.8,0.0047,0.6749999999999999,0.00010800000000000001,-0.63,0.002252,0.36,
16,17,variable,low,low,medium,0.00010499999999999998,-0.8,0.0047,0.6749999999999999,0.00014099999999999998,-0.88,0.002433,0.38,
17,18,variable,low,low,medium,0.00011999999999999998,-0.8,0.0047,0.6749999999999999,0.000155,-0.89,0.002636,0.47,
18,19,variable,low,low,medium,0.00013499999999999995,-0.8,0.0047,0.6749999999999999,0.00015800000000000002,-0.63,0.0027649999999999997,0.47,
19,20,variable,low,low,medium,0.00015,-0.8,0.0047,0.6749999999999999,0.000171,-0.69,0.002814,0.49,
20,21,variable,low,low,high,1.4999999999999999e-05,-0.8,0.0047,1.135,2e-05,-0.84,0.004831,1.03,
21,22,variable,low,low,high,3e-05,-0.8,0.0047,1.135,3.2e-05,-0.67,0.005263,1.49,
22,23,variable,low,low,high,4.5e-05,-0.8,0.0047,1.135,5.2000000000000004e-05,-0.73,0.004431,0.87,
23,24,variable,low,low,high,5.999999999999999e-05,-0.8,0.0047,1.135,6.500000000000001e-05,-0.67,0.0059770000000000005,0.98,
24,25,variable,low,low,high,7.5e-05,-0.8,0.0047,1.135,9.7e-05,-0.79,0.002073,0.46,
25,26,variable,low,low,high,8.999999999999998e-05,-0.8,0.0047,1.135,0.00011599999999999999,-0.65,0.002302,0.32,
26,27,variable,low,low,high,0.00010499999999999998,-0.8,0.0047,1.135,0.000131,-0.61,0.002493,0.49,
27,28,variable,low,low,high,0.00011999999999999998,-0.8,0.0047,1.135,0.00015,-0.69,0.002611,0.57,
28,29,variable,low,low,high,0.00013499999999999995,-0.8,0.0047,1.135,0.000184,-0.7,0.002907,0.39,
29,30,variable,low,low,high,0.00015,-0.8,0.0047,1.135,0.00018700000000000002,-0.67,0.002961,0.47,
30,31,variable,low,medium,low,1.4999999999999999e-05,-0.8,0.0075,0.215,2e-05,-0.94,0.0064719999999999995,0.13,
31,32,variable,low,medium,low,3e-05,-0.8,0.0075,0.215,3.1e-05,-0.54,0.006887000000000001,0.19,
32,33,variable,low,medium,low,4.5e-05,-0.8,0.0075,0.215,5.2000000000000004e-05,-0.93,0.007531,0.3,
33,34,variable,low,medium,low,5.999999999999999e-05,-0.8,0.0075,0.215,6.8e-05,-0.73,0.006486,0.27,
34,35,variable,low,medium,low,7.5e-05,-0.8,0.0075,0.215,7.4e-05,-0.64,0.00793,0.29,
35,36,variable,low,medium,low,8.999999999999998e-05,-0.8,0.0075,0.215,9.7e-05,-0.78,0.007476000000000001,0.29,
36,37,variable,low,medium,low,0.00010499999999999998,-0.8,0.0075,0.215,0.000126,-0.69,0.002397,0.07,
37,38,variable,low,medium,low,0.00011999999999999998,-0.8,0.0075,0.215,0.000156,-0.93,0.002677,0.06,
38,39,variable,low,medium,low,0.00013499999999999995,-0.8,0.0075,0.215,0.00016299999999999998,-0.8,0.002731,0.07,
39,40,variable,low,medium,low,0.00015,-0.8,0.0075,0.215,0.00017900000000000001,-0.96,0.002784,0.13,
40,41,variable,low,medium,medium,1.4999999999999999e-05,-0.8,0.0075,0.6749999999999999,1.4000000000000001e-05,-0.57,0.0072239999999999995,0.51,
41,42,variable,low,medium,medium,3e-05,-0.8,0.0075,0.6749999999999999,3.5e-05,-0.83,0.007921,0.57,
42,43,variable,low,medium,medium,4.5e-05,-0.8,0.0075,0.6749999999999999,4.8e-05,-0.68,0.008378,0.96,
43,44,variable,low,medium,medium,5.999999999999999e-05,-0.8,0.0075,0.6749999999999999,7.3e-05,-0.93,0.00745,0.8,
44,45,variable,low,medium,medium,7.5e-05,-0.8,0.0075,0.6749999999999999,7.7e-05,-0.72,0.007242,0.82,
45,46,variable,low,medium,medium,8.999999999999998e-05,-0.8,0.0075,0.6749999999999999,9.7e-05,-0.74,0.007633,0.7,
46,47,variable,low,medium,medium,0.00010499999999999998,-0.8,0.0075,0.6749999999999999,0.000124,-0.81,0.008048,0.68,
47,48,variable,low,medium,medium,0.00011999999999999998,-0.8,0.0075,0.6749999999999999,0.000154,-0.78,0.00268,0.41,
48,49,variable,low,medium,medium,0.00013499999999999995,-0.8,0.0075,0.6749999999999999,0.000149,-0.69,0.00787,0.69,
49,50,variable,low,medium,medium,0.00015,-0.8,0.0075,0.6749999999999999,0.000198,-0.76,0.0030329999999999997,0.36,
50,51,variable,low,medium,high,1.4999999999999999e-05,-0.8,0.0075,1.135,1.8e-05,-0.6,0.00683,0.78,
51,52,variable,low,medium,high,3e-05,-0.8,0.0075,1.135,2.9999999999999997e-05,-0.7,0.007894,1.12,
52,53,variable,low,medium,high,4.5e-05,-0.8,0.0075,1.135,4.7e-05,-0.75,0.007934,1.23,
53,54,variable,low,medium,high,5.999999999999999e-05,-0.8,0.0075,1.135,6.500000000000001e-05,-0.59,0.006534000000000001,1.23,
54,55,variable,low,medium,high,7.5e-05,-0.8,0.0075,1.135,8.3e-05,-0.71,0.007665000000000001,1.13,
55,56,variable,low,medium,high,8.999999999999998e-05,-0.8,0.0075,1.135,0.000105,-0.65,0.00761,0.98,
56,57,variable,low,medium,high,0.00010499999999999998,-0.8,0.0075,1.135,0.000123,-0.67,0.007888,0.7,
57,58,variable,low,medium,high,0.00011999999999999998,-0.8,0.0075,1.135,0.000157,-0.8,0.00268,0.3,
58,59,variable,low,medium,high,0.00013499999999999995,-0.8,0.0075,1.135,0.000146,-0.64,0.008865000000000001,1.15,
59,60,variable,low,medium,high,0.00015,-0.8,0.0075,1.135,0.000192,-0.68,0.003008,0.44,
60,61,variable,low,high,low,1.4999999999999999e-05,-0.8,0.0103,0.215,2.4e-05,-0.54,0.008757,0.04,
