,index,v_level,gamma_level,s_level,tau_level,v_gen,gamma_gen,s_gen,tau_gen,v_rec,gamma_rec,s_rec,tau_rec,converged
0,1,variable,low,low,low,1.4999999999999999e-05,-0.8,0.0047,0.215,1.7e-05,-0.74,0.0046630000000000005,0.25,True
1,2,variable,low,low,low,3e-05,-0.8,0.0047,0.215,3.2e-05,-0.94,0.004638000000000001,0.26,True
2,3,variable,low,low,low,4.5e-05,-0.8,0.0047,0.215,4.8e-05,-0.82,0.004725,0.23,True
3,4,variable,low,low,low,5.999999999999999e-05,-0.8,0.0047,0.215,6.6e-05,-0.95,0.003965,0.2,True
4,5,variable,low,low,low,7.5e-05,-0.8,0.0047,0.215,8e-05,-0.61,0.004499,0.23,True
5,6,variable,low,low,low,8.999999999999998e-05,-0.8,0.0047,0.215,9.2e-05,-0.64,0.004633,0.29,True
6,7,variable,low,low,low,0.00010499999999999998,-0.8,0.0047,0.215,0.000109,-0.76,0.004933,0.31,True
7,8,variable,low,low,low,0.00011999999999999998,-0.8,0.0047,0.215,0.000129,-0.74,0.00526,0.26,True
8,9,variable,low,low,low,0.00013499999999999995,-0.8,0.0047,0.215,0.000136,-0.6,0.005397,0.27,True
9,10,variable,low,low,low,0.00015,-0.8,0.0047,0.215,0.000157,-0.66,0.004794,0.24,True
10,11,variable,low,low,medium,1.4999999999999999e-05,-0.8,0.0047,0.6749999999999999,1.9e-05,-0.91,0.004811,0.62,True
11,12,variable,low,low,medium,3e-05,-0.8,0.0047,0.6749999999999999,3.3e-05,-0.71,0.004231,0.82,True
12,13,variable,low,low,medium,4.5e-05,-0.8,0.0047,0.6749999999999999,4.9e-05,-0.64,0.005057,0.7,True
13,14,variable,low,low,medium,5.999999999999999e-05,-0.8,0.0047,0.6749999999999999,6.1e-05,-0.65,0.004947999999999999,0.94,True
14,15,variable,low,low,medium,7.5e-05,-0.8,0.0047,0.6749999999999999,8.6e-05,-0.75,0.0046619999999999995,0.68,True
15,16,variable,low,low,medium,8.999999999999998e-05,-0.8,0.0047,0.6749999999999999,9.6e-05,-0.7,0.005435,0.89,True
16,17,variable,low,low,medium,0.00010499999999999998,-0.8,0.0047,0.6749999999999999,0.00011200000000000001,-0.71,0.005256,0.87,True
17,18,variable,low,low,medium,0.00011999999999999998,-0.8,0.0047,0.6749999999999999,0.000136,-0.71,0.005308,0.53,True
18,19,variable,low,low,medium,0.00013499999999999995,-0.8,0.0047,0.6749999999999999,0.00014199999999999998,-0.68,0.005274,0.7,True
19,20,variable,low,low,medium,0.00015,-0.8,0.0047,0.6749999999999999,0.000164,-0.78,0.006006,0.66,True
20,21,variable,low,low,high,1.4999999999999999e-05,-0.8,0.0047,1.135,1.8e-05,-0.7,0.004189,0.81,True
21,22,variable,low,low,high,3e-05,-0.8,0.0047,1.135,3.2e-05,-0.69,0.0046630000000000005,0.9,True
22,23,variable,low,low,high,4.5e-05,-0.8,0.0047,1.135,4.5e-05,-0.67,0.004956,1.27,True
23,24,variable,low,low,high,5.999999999999999e-05,-0.8,0.0047,1.135,6.6e-05,-0.66,0.006057,0.98,True
24,25,variable,low,low,high,7.5e-05,-0.8,0.0047,1.135,8.1e-05,-0.69,0.005603,1.44,True
25,26,variable,low,low,high,8.999999999999998e-05,-0.8,0.0047,1.135,9.300000000000001e-05,-0.6,0.005763,1.29,True
26,27,variable,low,low,high,0.00010499999999999998,-0.8,0.0047,1.135,0.00011399999999999999,-0.68,0.005887,0.96,True
27,28,variable,low,low,high,0.00011999999999999998,-0.8,0.0047,1.135,0.00013700000000000002,-0.69,0.00573,0.93,True
28,29,variable,low,low,high,0.00013499999999999995,-0.8,0.0047,1.135,0.000155,-0.71,0.006543000000000001,0.82,True
29,30,variable,low,low,high,0.00015,-0.8,0.0047,1.135,0.000176,-0.7,0.006443000000000001,0.69,True
30,31,variable,low,medium,low,1.4999999999999999e-05,-0.8,0.0075,0.215,1.7e-05,-0.7,0.006751000000000001,0.13,True
31,32,variable,low,medium,low,3e-05,-0.8,0.0075,0.215,3.4e-05,-0.75,0.006657,0.21,True
32,33,variable,low,medium,low,4.5e-05,-0.8,0.0075,0.215,4.4e-05,-0.69,0.00822,0.23,True
33,34,variable,low,medium,low,5.999999999999999e-05,-0.8,0.0075,0.215,5.9999999999999995e-05,-0.71,0.008551000000000001,0.31,True
34,35,variable,low,medium,low,7.5e-05,-0.8,0.0075,0.215,7.2e-05,-0.4,0.007354,0.21,True
35,36,variable,low,medium,low,8.999999999999998e-05,-0.8,0.0075,0.215,0.0001,-0.82,0.007594,0.29,True
36,37,variable,low,medium,low,0.00010499999999999998,-0.8,0.0075,0.215,0.00011200000000000001,-0.84,0.007743000000000001,0.22,True
37,38,variable,low,medium,low,0.00011999999999999998,-0.8,0.0075,0.215,0.000124,-0.85,0.008459999999999999,0.31,True
38,39,variable,low,medium,low,0.00013499999999999995,-0.8,0.0075,0.215,0.000135,-0.86,0.008034999999999999,0.24,True
39,40,variable,low,medium,low,0.00015,-0.8,0.0075,0.215,0.000157,-0.75,0.008216,0.29,True
40,41,variable,low,medium,medium,1.4999999999999999e-05,-0.8,0.0075,0.6749999999999999,2.1e-05,-0.99,0.00732,0.55,True
41,42,variable,low,medium,medium,3e-05,-0.8,0.0075,0.6749999999999999,3.6e-05,-0.78,0.007142,0.74,True
42,43,variable,low,medium,medium,4.5e-05,-0.8,0.0075,0.6749999999999999,4.6e-05,-0.7,0.007441,0.63,True
43,44,variable,low,medium,medium,5.999999999999999e-05,-0.8,0.0075,0.6749999999999999,6.2e-05,-0.69,0.008248,0.76,True
44,45,variable,low,medium,medium,7.5e-05,-0.8,0.0075,0.6749999999999999,8e-05,-0.71,0.0072310000000000004,0.54,True
